id,phi,x,y,z
0,0,0,0.25,0
0.1405,0.68850544011577,0.1405,0.25,0
0.281,1.3763314084864,0.281,0.25,0
0.4215,2.0627991039234,0.4215,0.25,0
0.562,2.7472310656896,0.562,0.25,0
0.7025,3.4289518420711,0.7025,0.25,0
0.843,4.1072886569669,0.843,0.25,0
0.9835,4.7815720738373,0.9835,0.25,0
1.124,5.451136656357,1.124,0.25,0
1.2645,6.1153216251206,1.2645,0.25,0
1.405,6.7734715097519,1.405,0.25,0
1.5455,7.4249367957742,1.5455,0.25,0
1.686,8.0690745656026,1.686,0.25,0
1.8265,8.7052491330259,1.8265,0.25,0
1.967,9.3328326705523,1.967,0.25,0
2.1075,9.9512058289995,2.1075,0.25,0
2.248,10.559758348717,2.248,0.25,0
2.3885,11.15788966184,2.3885,0.25,0
2.529,11.745009484974,2.529,0.25,0
2.6695,12.320538401739,2.6695,0.25,0
2.81,12.883908434579,2.81,0.25,0
2.9505,13.434563605286,2.9505,0.25,0
3.091,13.97196048369,3.091,0.25,0
3.2315,14.495568723951,3.2315,0.25,0
3.372,15.004871587953,3.372,0.25,0
3.5125,15.499366455258,3.5125,0.25,0
3.653,15.978565319133,3.653,0.25,0
3.7935,16.441995268153,3.7935,0.25,0
3.934,16.88919895291,3.934,0.25,0
4.0745,17.319735037358,4.0745,0.25,0
4.215,17.733178634361,4.215,0.25,0
4.3555,18.129121725005,4.3555,0.25,0
4.496,18.507173561261,4.496,0.25,0
4.6365,18.866961051611,4.6365,0.25,0
4.777,19.208129129238,4.777,0.25,0
4.9175,19.530341102441,4.9175,0.25,0
5.058,19.833278986902,5.058,0.25,0
5.1985,20.116643819504,5.1985,0.25,0
5.339,20.380155953367,5.339,0.25,0
5.4795,20.623555333831,5.4795,0.25,0
5.62,20.846601755093,5.62,0.25,0
5.7605,21.049075097262,5.7605,0.25,0
5.901,21.230775543597,5.901,0.25,0
6.0415,21.391523777692,6.0415,0.25,0
6.182,21.531161160449,6.182,0.25,0
6.3225,21.649549886629,6.3225,0.25,0
6.463,21.746573120853,6.463,0.25,0
6.6035,21.822135112902,6.6035,0.25,0
6.744,21.876161292213,6.744,0.25,0
6.8845,21.90859834147,6.8845,0.25,0
7.025,21.919414249221,7.025,0.25,0
7.1655,21.90859834147,7.1655,0.25,0
7.306,21.876161292214,7.306,0.25,0
7.4465,21.822135112903,7.4465,0.25,0
7.587,21.746573120855,7.587,0.25,0
7.7275,21.649549886631,7.7275,0.25,0
7.868,21.531161160451,7.868,0.25,0
8.0085,21.391523777695,8.0085,0.25,0
8.149,21.2307755436,8.149,0.25,0
8.2895,21.049075097266,8.2895,0.25,0
8.43,20.846601755096,8.43,0.25,0
8.5705,20.623555333835,8.5705,0.25,0
8.711,20.380155953371,8.711,0.25,0
8.8515,20.116643819508,8.8515,0.25,0
8.992,19.833278986907,8.992,0.25,0
9.1325,19.530341102446,9.1325,0.25,0
9.273,19.208129129244,9.273,0.25,0
9.4135,18.866961051616,9.4135,0.25,0
9.554,18.507173561267,9.554,0.25,0
9.6945,18.129121725011,9.6945,0.25,0
9.835,17.733178634367,9.835,0.25,0
9.9755,17.319735037364,9.9755,0.25,0
10.116,16.889198952916,10.116,0.25,0
10.2565,16.44199526816,10.2565,0.25,0
10.397,15.978565319139,10.397,0.25,0
10.5375,15.499366455265,10.5375,0.25,0
10.678,15.00487158796,10.678,0.25,0
10.8185,14.495568723958,10.8185,0.25,0
10.959,13.971960483696,10.959,0.25,0
11.0995,13.434563605293,11.0995,0.25,0
11.24,12.883908434585,11.24,0.25,0
11.3805,12.320538401746,11.3805,0.25,0
11.521,11.74500948498,11.521,0.25,0
11.6615,11.157889661846,11.6615,0.25,0
11.802,10.559758348723,11.802,0.25,0
11.9425,9.9512058290051,11.9425,0.25,0
12.083,9.3328326705577,12.083,0.25,0
12.2235,8.705249133031,12.2235,0.25,0
12.364,8.0690745656074,12.364,0.25,0
12.5045,7.4249367957787,12.5045,0.25,0
12.645,6.7734715097561,12.645,0.25,0
12.7855,6.1153216251244,12.7855,0.25,0
12.926,5.4511366563605,12.926,0.25,0
13.0665,4.7815720738404,13.0665,0.25,0
13.207,4.1072886569696,13.207,0.25,0
13.3475,3.4289518420734,13.3475,0.25,0
13.488,2.7472310656914,13.488,0.25,0
13.6285,2.0627991039248,13.6285,0.25,0
13.769,1.3763314084873,13.769,0.25,0
13.9095,0.68850544011623,13.9095,0.25,0
14.05,3.8219729609836e-17,14.05,0.25,0
