time,avg_T,max_B,max_T,max_eddy_heat
0,0,0,0,0
0.01,300,0.097640796704289,300,21.465013169701
0.02,300.00039193003,0.19770640144828,300.00341592557,72.755840171487
0.03,300.0015398437,0.29745640921673,300.01194281911,139.78358516121
0.04,300.00350009378,0.39458534894481,300.02405788221,212.67978571963
0.05,300.00625715522,0.48708007928403,300.03855615178,283.86534155937
0.06,300.00974509673,0.57315259546271,300.05435963627,347.32527599864
0.07,300.01385222342,0.65121176135277,300.07042858695,398.38271223941
0.08,300.01842755158,0.71985510333424,300.085767454,433.66850589814
0.09,300.02329024021,0.77787063096534,300.10074685843,451.1470854056
0.1,300.02824118502,0.82424317024497,300.11415584465,450.13080438549
0.11,300.03307584232,0.85816207056354,300.12542399723,431.24949019019
0.12,300.03759737502,0.87902843389394,300.13412838859,396.36042490751
0.13,300.04162925119,0.88646074003904,300.13941308574,348.395426732
0.14,300.04502648695,0.88029817053893,300.1411181064,291.14957532382
0.15,300.04768482373,0.86060120282699,300.13931627745,229.02188080114
0.16,300.0495472652,0.82764922692784,300.13510426433,166.72237469997
0.17,300.05060756826,0.78193506744907,300.12894352997,111.54500609677
0.18,300.0509104754,0.72415639432151,300.12138756882,100.05382021988
0.19,300.05054868107,0.65520408782595,300.11243237804,85.89424291816
0.2,300.04965673069,0.57614769294909,300.10337322594,70.042138787875
0.21,300.04840224349,0.50587945747015,300.09493049041,53.59559226281
0.22,300.04697501879,0.46017019074783,300.08737702503,37.702700417571
0.23,300.04557471835,0.4215924328783,300.08134179119,50.939123073364
0.24,300.04439790652,0.38932783277129,300.07704227526,101.29954702211
0.25,300.04362527038,0.3517962100065,300.07491487935,165.41101248242
0.26,300.04340983018,0.30954279019131,300.07558554056,239.6574706036
0.27,300.04386688829,0.27993879606534,300.07928891878,319.73028238819
0.28,300.04506635484,0.25506222365591,300.08598468581,400.89929553647
0.29,300.04702793884,0.2368151528649,300.09570048607,478.31100312607
0.3,300.04971951294,0.21912124990707,300.10825198196,547.29499443827
0.31,300.05305876002,0.19891917133007,300.12369007576,603.65938843552
0.32,300.0569180033,0.17649192365369,300.14007656343,643.9566333192
0.33,300.06113192079,0.16190895907768,300.15603073639,665.70291797306
0.34,300.0655076634,0.1485785690315,300.17062781706,667.53735610198
0.35,300.06983674411,0.13852069217424,300.1830143919,649.3108884886
0.36,300.07390795382,0.12901686690395,300.1924620875,612.09926531528
0.37,300.07752049454,0.11830573686196,300.19841353232,558.13924151223
0.38,300.0804965059,0.10653523090981,300.20051771039,490.69194384287
0.39,300.08269219887,0.097673944993637,300.19865247829,413.84194579091
0.4,300.08400689709,0.09066468079696,300.19293282213,332.24462760141
0.41,300.08438941751,0.084185273516348,300.18508654851,250.83765020741
0.42,300.08384138817,0.079202434900099,300.17497357113,174.5346288866
0.43,300.08241729321,0.073632075816775,300.16281627297,135.4246178307
0.44,300.08022124017,0.067551570322968,300.14969585297,117.81129057732
0.45,300.07740065003,0.061179676532752,300.13716959833,98.176976996408
0.46,300.07413726352,0.05758295316229,300.12576479814,77.702792847486
0.47,300.07063602543,0.053641841080261,300.11559119782,57.617106381075
0.48,300.0671125414,0.050400473437413,300.10674597838,39.119510115062
0.49,300.06377989143,0.047578561869246,300.09913897687,65.066734784942
0.5,300.06083562435,0.044507881167156,300.09271767392,119.75802511749
0.51,300.0584497458,0.043815194860299,300.08751151037,186.00141804477
0.52,300.05675445004,0.15240564641001,300.08376417539,259.48916659253
0.53,300.05583623603,0.25864669623158,300.08276516411,335.47594260783
0.54,300.05573089846,0.36086137455644,300.08795742202,409.07796614607
0.55,300.05642170385,0.45743627657363,300.09635130092,475.58051911293
0.56,300.05784086178,0.54684700267065,300.10745530452,530.73452839861
0.57,300.05987419449,0.62768219533036,300.12111019766,571.02359394944
0.58,300.06236870724,0.69866579357747,300.13485915914,593.88469743994
0.59,300.06514257979,0.75867715398198,300.14764635565,597.86874051916
0.6,300.06799694775,0.8067687208754,300.15862235482,582.73084492895
0.61,300.07072873011,0.84218096708831,300.16705798763,549.44476238512
0.62,300.07314369413,0.8643543695661,300.17239044488,500.14051250762
0.63,300.0750689341,0.87293823098231,300.17425881896,437.96919253614
0.64,300.07636397787,0.86779620821284,300.17252685887,366.90347983831
0.65,300.07692982161,0.849008460469,300.16729151132,291.4863897356
0.66,300.07671532378,0.8168703831998,300.15995032895,216.54410295724
0.67,300.07572055603,0.77188794771914,300.1507178444,146.88093478409
0.68,300.07399689998,0.71476972004433,300.1397418062,116.54861980622
0.69,300.07164388395,0.64641568480446,300.12810815094,100.62288140104
0.7,300.06880295914,0.56790305046354,300.11726127015,82.868864621233
0.71,300.06564860709,0.48046925971101,300.10771537508,64.431234472024
0.72,300.06237733868,0.43294251353169,300.0993841229,46.501190133117
0.73,300.05919527767,0.3851328746047,300.09217018162,35.833411764861
0.74,300.05630511095,0.35482445025385,300.08598709897,80.597236012593
0.75,300.05389322794,0.31910018455371,300.08086954129,140.01769350323
0.76,300.05211785982,0.2785200123705,300.07697720367,210.45010862666
0.77,300.05109896673,0.24133104205717,300.07498828535,287.54995433163
0.78,300.05091051156,0.21823624387028,300.07940283424,366.54488372188
0.79,300.05157560874,0.19822615521652,300.0874345908,442.53381207613
0.8,300.05306485647,0.18215057795989,300.09874717204,510.7942619397
0.81,300.05529796028,0.16347238815619,300.11324306582,567.07866212864
0.82,300.05814854947,0.14248160219096,300.12884929274,607.88098299794
0.83,300.06145188693,0.12787028198528,300.14422556591,630.65695173322
0.84,300.06501499136,0.11573981361346,300.1584397468,633.984005802
0.85,300.06862853883,0.10748311184933,300.17062947883,617.65092695317
0.86,300.07207979894,0.098948363159356,300.18005601599,582.6715145295
0.87,300.07516579547,0.089166794803476,300.1861503476,531.22142788179
0.88,300.07770586723,0.078288149677658,300.18854872326,466.50215359436
0.89,300.07955284206,0.072649466783946,300.18711534721,392.54063080649
0.9,300.080602124,0.066607572029349,300.18195081662,313.93710957742
0.91,300.08079812433,0.06273245977274,300.17456868141,235.57706900681
0.92,300.08013763385,0.058194106146389,300.16507997484,162.32527939402
0.93,300.07866992553,0.053060152755545,300.15372858577,128.0856290258
0.94,300.076493582,0.047998736934998,300.14127240428,111.18324001273
0.95,300.07375024747,0.045024888771581,300.1293518803,92.318204538031
0.96,300.07061569689,0.041983124760051,300.11868455931,72.656496818316
0.97,300.06728878331,0.039887100924941,300.10930815772,53.411639519401
0.98,300.06397895731,0.037472045832624,300.10118265373,35.768862259946
0.99,300.06089314189,0.034773060072194,300.09423028916,71.060880660837
1,300.05822278647,0.03203586183269,300.08842150832,127.56291151039
1.01,300.05613191209,0.041787891895775,300.08384736763,195.36793667458
1.02,300.05474689724,0.15044555128212,300.08091318709,270.16174537076
1.03,300.05414864458,0.25675068834384,300.08256773173,347.19653973432
1.04,300.05436761845,0.35902651960575,300.08879256516,421.58984453459
1.05,300.05538206322,0.45565981296473,300.09809307253,488.63176893297
1.06,300.05711951192,0.54512632910014,300.11006398211,544.08130983161
1.07,300.05946148824,0.6260148594243,300.12440562017,584.4330767088
1.08,300.06225110403,0.69704948147957,300.13861982579,607.13767814237
1.09,300.06530307267,0.75710968080087,300.15178875802,610.76192356784
1.1,300.06841550667,0.8052480219092,300.16306227441,595.07877712472
1.11,300.07138275617,0.84070508975387,300.1717116389,561.08141597069
1.12,300.07400847919,0.86292146596761,300.17717555966,510.92051572277
1.13,300.07611812064,0.87154655106098,300.17909566158,447.76871097462
1.14,300.07757001384,0.86644409342541,300.17733916248,375.62075590476
1.15,300.07826440535,0.84769433794802,300.17200732704,299.04195126719
1.16,300.07814983448,0.81559276035345,300.16455194087,222.88065556179
1.17,300.07722646533,0.77064540723245,300.15513241491,151.96295562487
1.18,300.07554616072,0.71356091524758,300.14391317068,120.01424456294
1.19,300.0732092927,0.64523933537752,300.13196928402,103.76688085571
1.2,300.07035848915,0.56675793844835,300.12075980911,85.655809512896
1.21,300.06716970914,0.47935422580651,300.11083320296,66.83288708473
