time,avg_stress_yy,max_disp_x,max_vonmises,top_disp_y
0,0,0,0,0
0.02,-0.0916745088199,0.0057248626245074,0.11078604956476,-0.006
0.04,-0.1839713906967,0.011513288056067,0.22253088715014,-0.012
0.06,-0.27688755336901,0.017366411459362,0.33522707819883,-0.018
0.08,-0.3704192083106,0.02328539800744,0.44886571754133,-0.024
0.1,-0.4645618271534,0.029271443629614,0.56343632587581,-0.03
0.12,-0.55931009622836,0.035325775691615,0.67892674016375,-0.036
0.14,-0.65465786923159,0.04144965353532,0.7953229983477,-0.042
0.16,-0.75059811793163,0.047644369142117,0.91260921607009,-0.048
0.18,-0.84712288099459,0.053911247595013,1.0307674573546,-0.054
0.2,-0.94422321092144,0.06025164740288,1.1497775988019,-0.06
0.22,-1.0418891190657,0.066666960921034,1.2696171848584,-0.066
0.24,-1.1401095188753,0.073158614420829,1.3902612776742,-0.072
0.26,-1.2388721673284,0.079728068187545,1.51168229848,-0.078
0.28,-1.3381636047104,0.086376816368749,1.633849862374,-0.084
0.3,-1.4379690928444,0.093106386613434,1.7567306068073,-0.09
0.32,-1.5382725518727,0.099918339584391,1.8802880127134,-0.096
0.34,-1.6390564958337,0.1068142681487,2.0044822208754,-0.102
0.36,-1.7403019672699,0.11379579627337,2.1292698443921,-0.108
0.38,-1.8419884710511,0.12086457770383,2.2546037763562,-0.114
0.4,-1.9440939079236,0.12802229417109,2.380432998777,-0.12
0.42,-2.0465945080231,0.13527065331008,2.5067023905391,-0.126
0.44,-2.1494647650336,0.14261138606609,2.6333525422991,-0.132
0.46,-2.2526773714279,0.1500462436865,2.7603195777844,-0.138
0.48,-2.3562031556907,0.15757699414544,2.8875349911371,-0.144
0.5,-2.4600110222508,0.16520541803363,3.0149255027465,-0.15
0.52,-2.5640678952471,0.1729333038228,3.1424129435164,-0.156
0.54,-2.6683386673844,0.18076244247879,3.2699141775693,-0.162
0.56,-2.7727861552955,0.18869462138441,3.3973410730919,-0.168
0.58,-2.8773710632066,0.19673161752947,3.5246005363964,-0.174
0.6,-2.9820519570084,0.20487518995501,3.6515946265986,-0.18
0.62,-3.0867852511019,0.2131270714233,3.7782207680971,-0.186
0.64,-3.1915252109326,0.22148895932681,3.9043720852441,-0.192
0.66,-3.2962239744642,0.22996250584739,4.029937883127,-0.198
0.68,-3.4008315964403,0.23854930743699,4.1548043050059,-0.204
0.7,-3.5052961196153,0.24725089367892,4.2788551944752,-0.21
0.72,-3.6095636777458,0.25606871568077,4.4019731966498,-0.216
0.74,-3.7135786354054,0.26500413417631,4.5240411294854,-0.222
0.76,-3.8172837699148,0.27405840758931,4.6449436544876,-0.228
0.78,-3.9206205006084,0.28323268040085,4.7645692705503,-0.234
0.8,-4.0235291700467,0.29252797222826,4.8828126407484,-0.24
0.81,-4.0748165580169,0.29722138876413,4.9413720888545,-0.243
0.82,-4.1259747229628,0.30194538984657,4.9995501476868,-0.246
0.825,-4.1515050536234,0.30431889660018,5.0284871036745,-0.2475
0.83,-4.1770002820545,0.30670008285254,5.0573249117315,-0.249
0.8325,-4.1897348231336,0.30789355891954,5.0717045023463,-0.24975
0.835,-4.2024602391419,0.30908895852144,5.0860588837105,-0.2505
0.8375,-4.2151764120393,0.31028628277476,5.1003879266026,-0.25125
0.84,-4.2278832238999,0.31148553275907,5.1146915060649,-0.252
0.8425,-4.2405805569362,0.31268670951858,5.1289695017369,-0.25275
0.845,-4.2532682935022,0.31388981405966,5.1432217976024,-0.2535
0.8475,-4.2659463161175,0.31509484735251,5.1574482823247,-0.25425
0.84875,-4.2722817315663,0.31569808742216,5.1645513007512,-0.254625
0.85,-4.2786146751977,0.31630181003718,5.171647825859,-0.255
0.85125,-4.2849451323821,0.31690601530851,5.1787378450782,-0.255375
0.8525,-4.291273088504,0.3175107033449,5.1858213461614,-0.25575
0.85375,-4.2975985289614,0.31811587425285,5.1928983171727,-0.256125
0.855,-4.303921439167,0.31872152813657,5.1999687464909,-0.2565
0.85625,-4.3102418045459,0.31932766509768,5.2070326227548,-0.256875
0.8575,-4.3165596105449,0.31993428523651,5.2140899350954,-0.25725
0.85875,-4.3228748426206,0.32054138865019,5.2211406727991,-0.257625
0.86,-4.329187486248,0.32114897543388,5.2281848255352,-0.258
0.86125,-4.3354975269192,0.32175704568051,5.2352223833033,-0.258375
0.8625,-4.3418049501435,0.32236559948076,5.2422533364367,-0.25875
0.86375,-4.3481097414483,0.32297463692309,5.2492776756051,-0.259125
0.865,-4.3544118863797,0.32358415809371,5.2562953918179,-0.2595
0.865625,-4.3575619818154,0.3238891000604,5.2598016227786,-0.2596875
0.86625,-4.3607114103281,0.32419416299185,5.2633061947002,-0.259875
0.866875,-4.3638601701161,0.32449934689812,5.26680910654,-0.2600625
0.8675,-4.3670082593796,0.32480465178922,5.2703103572942,-0.26025
0.868125,-4.3701556763199,0.32511007767503,5.2738099459807,-0.2604375
0.86875,-4.3733024191397,0.32541562456529,5.2773078716394,-0.260625
0.869375,-4.3764484860431,0.3257212924696,5.2808041333324,-0.2608125
0.87,-4.3795938752353,0.32602708139743,5.2842987301438,-0.261
0.870625,-4.3827385849231,0.3263329913581,5.2877916611801,-0.2611875
0.87125,-4.3858826133144,0.3266390223608,5.2912829255703,-0.261375
0.871875,-4.3890259586186,0.3269451744146,5.2947725224656,-0.2615625
0.8725,-4.3921686190447,0.32725144752815,5.2982604509869,-0.26175
0.873125,-4.3953105928086,0.32755784171074,5.3017467104354,-0.2619375
0.87375,-4.398451878122,0.32786435697076,5.3052312999787,-0.262125
0.874375,-4.4015924732,0.32817099331673,5.3087142188587,-0.2623125
0.875,-4.4047323762591,0.32847775075703,5.3121954663404,-0.2625
0.875625,-4.4078715855173,0.32878462929989,5.315675041712,-0.2626875
