time,u_avg,u_integral,u_max
0,0,0,0
0.2,0.13161768357323,0.10529414685858,0.94577939464456
0.4,0.13031453819131,0.10425163055305,0.90219492747773
0.6,0.12902429523892,0.10321943619114,0.86270788318846
0.8,0.12774682696923,0.10219746157538,0.82671869196839
1,0.12648200690023,0.10118560552018,0.79374196271505
1.2,0.12522970980221,0.10018376784177,0.7633804972095
1.4,0.12398981168535,0.099191849348282,0.73530605374062
1.6,0.12276218978748,0.098209751829983,0.70924491612417
1.8,0.12154672256186,0.097237378049488,0.68496693302556
2,0.12034328966521,0.096274631732166,0.66227709689346
2.2,0.11915177194575,0.0953214175566,0.64100900457013
2.4,0.11797205143144,0.094377641145148,0.62101972832167
2.6,0.11680401131825,0.093443209054602,0.60218575556119
2.8,0.11564753595867,0.092518028766933,0.58439974658525
3,0.11450251085017,0.091602008680132,0.56756792442414
3.2,0.11336882262393,0.09069505809914,0.55160795753157
3.4,0.11224635903359,0.089797087226872,0.53644722996065
3.6,0.11113500894415,0.088908007155318,0.52202141860728
3.8,0.11003466232094,0.088027729856751,0.50827331560677
4,0.10894521021875,0.087156168175001,0.49515184782952
4.2,0.10786654477104,0.086293235816833,0.48261125589292
4.4,0.10679855917925,0.085438847343399,0.4706104030825
4.6,0.10574114770223,0.084592918161781,0.45911219069845
4.8,0.10469420564577,0.083755364516615,0.44808306107913
5,0.10365762935225,0.082926103481797,0.43749257324096
5.2,0.10263131619034,0.082105052952274,0.42731303896596
5.4,0.10161516454489,0.081292131635915,0.41751920944968
5.6,0.10060907380683,0.08048725904546,0.40808800443334
5.8,0.099612944363194,0.079690355490555,0.39899827719062
6,0.09862667758732,0.078901342069856,0.3902306099
6.2,0.09765017582903,0.078120140663224,0.381767134871
6.4,0.09668334240498,0.077346673923984,0.37359137785258
6.6,0.095726081589089,0.076580865271271,0.36568812027116
6.8,0.094778298603059,0.075822638882447,0.3580432777532
7,0.093839899606989,0.075071919685591,0.35064379270393
7.2,0.092910791690088,0.07432863335207,0.34347753905843
7.4,0.091990882861473,0.073592706289179,0.3365332376064
7.6,0.091080082041063,0.07286406563285,0.32980038052988
7.8,0.090178299050557,0.072142639240446,0.32326916399125
8,0.089285444604512,0.071428355683609,0.3169304277755
8.2,0.088401430301497,0.070721144241197,0.31077560113026
8.4,0.087526168615344,0.070020934892275,0.30479665406566
8.6,0.086659572886479,0.069327658309183,0.29898605347543
8.8,0.085801557313345,0.068641245850676,0.293336723526
9,0.084952036943906,0.067961629555125,0.28784200983242
9.2,0.084110927667234,0.067288742133787,0.28249564700163
9.4,0.083278146205182,0.066622516964146,0.27729172917651
9.6,0.082453610104141,0.065962888083312,0.27222468325976
9.8,0.081637237726872,0.065309790181497,0.26728924453537
10,0.080828948244428,0.064663158595542,0.26248043443961
