time,c_025,c_050,c_075,c_avg,c_total
0,0,0,0,0,0
2,0.057153724049581,0.002694865562475,0.00012914993454313,0.094922729337248,0.0094922729337248
4,0.13235458684064,0.010280782979549,0.00068501265649003,0.12968558678854,0.012968558678854
6,0.20102808511883,0.022789348402952,0.0020143689347699,0.15663381256518,0.015663381256518
8,0.25720064780359,0.038834102727791,0.004367474698774,0.17859990674657,0.017859990674657
10,0.30171608367536,0.056725194128333,0.0078290295404562,0.19711231305907,0.019711231305907
12,0.3368677255844,0.075070800857688,0.012330549246167,0.21305118045502,0.021305118045502
14,0.36481039570222,0.092927985482056,0.017702922577265,0.22697318933967,0.022697318933967
16,0.38724568094515,0.10974518722649,0.023732327754485,0.239257601781,0.0239257601781
18,0.40545133604013,0.12525156889092,0.030201920647992,0.2501778284195,0.02501778284195
20,0.42037589801094,0.13935701957031,0.036916277623826,0.25993976646926,0.025993976646926
22,0.43272596025755,0.15207878379601,0.043712168183404,0.26870390416173,0.026870390416173
24,0.44303289631284,0.16349270437811,0.050460593884211,0.27659883796544,0.027659883796544
26,0.45170099007297,0.17370270252663,0.057064157095692,0.28372994234721,0.028372994234721
28,0.45904156008808,0.18282252611697,0.063452461730652,0.29018515340081,0.029018515340081
30,0.46529714632789,0.190965336839,0.069577097778602,0.2960389594165,0.02960389594165
32,0.47065877342941,0.19823814085297,0.07540698128207,0.30135523551363,0.030135523551363
34,0.47527840409014,0.20473913944725,0.080924357176315,0.3061893111392,0.03061893111392
36,0.47927803174043,0.21055678765741,0.086121525265338,0.31058951370058,0.031058951370058
38,0.48275640132072,0.2157698209581,0.0909982343315,0.31459834649151,0.031459834649151
40,0.48579403970966,0.22044779543575,0.095559645737475,0.31825340529186,0.031825340529186
42,0.48845706438794,0.22465187316684,0.099814761769447,0.32158810463754,0.032158810463754
44,0.49080010034295,0.22843569486611,0.10377522365846,0.32463226269894,0.032463226269894
46,0.49286853603542,0.23184624953563,0.10745439846928,0.32741257900595,0.032741257900595
48,0.49470028636741,0.2349246945458,0.11086669036167,0.32995303015003,0.032995303015004
50,0.49632718021456,0.23770710296299,0.11402702452796,0.33227520097186,0.033227520097186
52,0.4977760634461,0.24022512997586,0.11695046407419,0.33439856471872,0.033439856471872
54,0.49906968019963,0.24250659899836,0.1196519291939,0.33634072231431,0.033634072231431
56,0.5002273818196,0.24457601208895,0.12214599425486,0.33811760801378,0.033811760801378
58,0.50126570145728,0.24645499194629,0.12444674520141,0.33974366766972,0.033974366766972
60,0.50219882057279,0.24816266241874,0.12656768270047,0.34123201404515,0.034123201404515
62,0.50303895072195,0.2497159756949,0.12852166021108,0.342594562856,0.0342594562856
64,0.50379664708004,0.25112999331037,0.13032084871062,0.34384215255688,0.034384215255688
66,0.50448106590195,0.25241812709831,0.13197672145506,0.34498465018751,0.034498465018751
68,0.50510017890779,0.25359234624561,0.13350005361321,0.34603104530179,0.034603104530179
70,0.50566094978671,0.25466335489344,0.13490093303826,0.34698953355824,0.034698953355824
72,0.50616948235041,0.25564074557765,0.13618877895085,0.34786759136093,0.034786759136093
74,0.50663114352201,0.2565331308796,0.13737236631206,0.3486720426593,0.03486720426593
76,0.50705066704582,0.25734825771704,0.13845985389105,0.34940911888219,0.034940911888219
78,0.5074322402646,0.25809310609744,0.13945881476007,0.35008451284196,0.035008451284196
80,0.50777957768942,0.2587739749093,0.14037626807621,0.35070342728545,0.035070342728545
82,0.50809598305725,0.25939655685265,0.14121871130253,0.35127061871659,0.035127061871659
84,0.50838440212224,0.25996600357771,0.14199215232634,0.35179043700804,0.035179043700804
86,0.50864746755613,0.26048698300855,0.14270214094903,0.35226686125595,0.035226686125595
88,0.50888753755566,0.26096372953085,0.14335379942268,0.3527035322754,0.03527035322754
90,0.5091067286121,0.26140008829032,0.14395185185414,0.35310378210016,0.035310378210016
92,0.50930694411188,0.26179955426432,0.14450065227115,0.35347066076224,0.035347066076224
94,0.50948989862925,0.26216530693632,0.1450042112846,0.35380696064689,0.035380696064689
96,0.50965713931918,0.26250024100943,0.14546622125278,0.35411523866822,0.035411523866822
98,0.50981006432864,0.26280699382115,0.14589008000592,0.35439783644803,0.035439783644803
100,0.50994993882906,0.26308796976343,0.14627891306741,0.354656898711,0.0354656898711
