time,avg_u,avg_v,total_energy
0,0,0,0
0.02,0.061990897769426,-0.0036826275902629,0.061990897769424
0.04,0.060945442113611,-0.0072666872446333,0.06094544211361
0.06,0.059703912572111,-0.010741506929663,0.059703912572109
0.08,0.058275335823046,-0.014097056513907,0.058275335823045
0.1,0.056669205617311,-0.017323969159352,0.05666920561731
0.12,0.054895437651581,-0.020413559820244,0.05489543765158
0.14,0.052964323961006,-0.023357840849411,0.052964323961005
0.16,0.050886487007572,-0.026149534722639,0.050886487007571
0.18,0.04867283363709,-0.028782083901846,0.048672833637089
0.2,0.04633450907429,-0.031249657867627,0.046334509074289
0.22,0.043882851121398,-0.033547157361298,0.043882851121397
0.24,0.041329344721046,-0.035670215885704,0.041329344721045
0.26,0.038685577039283,-0.037615198522832,0.038685577039282
0.28,0.035963193219015,-0.039379198134627,0.035963193219014
0.3,0.033173852948254,-0.040960029021309,0.033173852948253
0.32,0.030329187981301,-0.042356218118997,0.030329187981301
0.34,0.027440760744334,-0.043566993825403,0.027440760744333
0.36,0.0245200241499,-0.044592272548908,0.0245200241499
0.38,0.021578282737584,-0.045432643082339,0.021578282737583
0.4,0.018626655250581,-0.046089348908291,0.01862665525058
0.42,0.015676038750209,-0.046564268547826,0.015676038750209
0.44,0.012737074362451,-0.046859894068884,0.012737074362451
0.46,0.0098201147425446,-0.04697930787469,0.0098201147425444
0.48,0.0069351933354387,-0.046926157895857,0.0069351933354386
0.5,0.0040919955016525,-0.046704631312828,0.0040919955016525
0.52,0.0012998315696975,-0.046319426937634,0.0012998315696975
0.54,-0.001432388132132,-0.045775726385848,-0.001432388132132
0.56,-0.0040961762201858,-0.045079164170927,-0.0040961762201857
0.58,-0.0066834891400247,-0.044235796853986,-0.0066834891400246
0.6,-0.0091867459633331,-0.043252071382362,-0.0091867459633329
0.62,-0.01159884507757,-0.042134792750206,-0.01159884507757
0.64,-0.013913178756821,-0.04089109111366,-0.013913178756821
0.66,-0.016123645610246,-0.039528388492124,-0.016123645610246
0.68,-0.018224660912256,-0.038054365185533,-0.018224660912255
0.7,-0.020211164826131,-0.036476926035609,-0.02021116482613
0.72,-0.022078628540128,-0.034804166656635,-0.022078628540127
0.74,-0.023823058342217,-0.033044339758517,-0.023823058342216
0.76,-0.025440997666455,-0.031205821681713,-0.025440997666454
0.78,-0.026929527150554,-0.029297079260079,-0.026929527150553
0.8,-0.028286262750478,-0.027326637123812,-0.028286262750477
0.82,-0.029509351963868,-0.025303045550475,-0.029509351963867
0.84,-0.030597468219727,-0.023234848967615,-0.030597468219727
0.86,-0.0315498034971,-0.021130555205732,-0.0315498034971
0.88,-0.032366059240417,-0.018998605595353,-0.032366059240417
0.9,-0.033046435643785,-0.016847345996759,-0.033046435643784
0.92,-0.033591619380706,-0.014684998845462,-0.033591619380705
0.94,-0.034002769859569,-0.012519636290978,-0.034002769859568
0.96,-0.03428150408872,-0.010359154500648,-0.03428150408872
0.98,-0.034429880238006,-0.0082112491944236,-0.034429880238005
1,-0.034450379986374,-0.0060833924705358,-0.034450379986373
1.02,-0.034345889747455,-0.0039828109759292,-0.034345889747455
1.04,-0.034119680866939,-0.0019164654692207,-0.034119680866939
1.06,-0.033775388887137,0.0001089681821857,-0.033775388887136
1.08,-0.033316991975263,0.002087116535348,-0.033316991975263
1.1,-0.032748788612772,0.0040119246060538,-0.032748788612772
1.12,-0.032075374643486,0.0058776703808544,-0.032075374643485
1.14,-0.031301619778323,0.0076789777896572,-0.031301619778323
1.16,-0.030432643654124,0.0094108281276284,-0.030432643654124
1.18,-0.029473791543429,0.011068569921024,-0.029473791543428
1.2,-0.028430609811079,0.012647927237315,-0.028430609811078
1.22,-0.027308821212221,0.014145006445593,-0.027308821212221
1.24,-0.026114300124653,0.015556301438685,-0.026114300124653
1.26,-0.024853047806563,0.016878697333742,-0.024853047806563
1.28,-0.023531167768491,0.01810947267312,-0.023531167768491
1.3,-0.022154841345891,0.01924630015235,-0.022154841345891
1.32,-0.020730303555934,0.02028724590664,-0.020730303555933
1.34,-0.019263819319229,0.021230767391874,-0.019263819319229
1.36,-0.017761660123971,0.02207570990031,-0.01776166012397
1.38,-0.016230081206595,0.022821301755154,-0.016230081206595
