time,L2_norm,avg_T,max_T,min_T
0,0,0,0,0
0.01,0.50050818014278,0.49995104537656,0.57369503355511,0.42595690127671
0.02,0.50039037609028,0.50019836879313,0.54509452808562,0.46038627455061
0.03,0.50049143861821,0.50039080619398,0.53144279611818,0.4738599346919
0.04,0.50057869916022,0.50051470761859,0.52253745644653,0.47940974447349
0.05,0.50063304001272,0.50058748492167,0.51655646246535,0.48265118223476
0.06,0.50066069077697,0.50062591261014,0.51433298149252,0.4848073861134
0.07,0.50066983449066,0.50064207438672,0.51282976008586,0.48649467418695
0.08,0.50066689709772,0.50064407650785,0.51155297158354,0.48788397800942
0.09,0.50065637801313,0.50063723221316,0.51046619888396,0.48906554823397
0.1,0.50064129589913,0.50062499499371,0.50953730571161,0.49007758453121
0.11,0.50062363541177,0.50060960198786,0.50877552322313,0.49095221124901
0.12,0.5006046853291,0.50059249912448,0.50814100819202,0.49171510654014
0.13,0.50058527349512,0.50057461780339,0.50759474766199,0.49237802893038
0.14,0.50056592454404,0.50055655412698,0.50711877229589,0.49295810820469
0.15,0.50054696421129,0.50053868502543,0.50671653471056,0.49347732281525
0.16,0.50052858794078,0.50052124373254,0.50636323869098,0.49394516973526
0.17,0.50051090593541,0.5005043690342,0.50603225289118,0.49436908544734
0.18,0.50049397278583,0.50048813757778,0.50571896682266,0.49475499372302
0.19,0.50047780700606,0.50047258518572,0.50543014799604,0.49510769305014
0.2,0.50046240395558,0.5004577209954,0.50516544955048,0.49542219851624
0.21,0.50044774441374,0.50044353689142,0.50491398239899,0.49571121231987
0.22,0.50043380028438,0.50043001382824,0.50467535413636,0.4959787755838
0.23,0.5004205383963,0.50041712608486,0.50444909635353,0.49622701168099
0.24,0.50040792303355,0.50040484413431,0.50423923435061,0.49645774853299
0.25,0.50039591761348,0.50039313657864,0.50404297801412,0.49667257515991
0.26,0.50038448578981,0.50038197144883,0.50385701890706,0.49687288439933
0.27,0.50037359216561,0.50037131707025,0.50368023943922,0.4970596728633
0.28,0.50036320274057,0.50036114262906,0.50351222274029,0.49723210265905
0.29,0.5003532851765,0.50035141853171,0.50335255335686,0.49739383288451
0.3,0.50034380893863,0.50034211662089,0.50320366052828,0.49754565487969
