time,max_d_minus,max_d_plus,total_d_minus,total_d_plus
0,0,0,0,0
0.05,0,0.96084315990434,0,0.10634723105433
0.075,0,0.95026115621163,0,0.10634723105433
0.1,0,0.93760224780203,0,0.10634723105433
0.125,0,0.92669925325463,0,0.10634723105433
0.15,0,0.9139005359647,0,0.10634723105433
0.175,0,0.90414131532945,0,0.10634723105433
0.2,0,0.89358634773199,0,0.10634723105433
0.225,0,0.88386194292405,0,0.10634723105433
0.25,0,0.87305603428887,0,0.10634723105433
0.275,0,0.86408287772575,0,0.10634723105433
0.3,0,0.85512998235903,0,0.10634723105433
0.325,0,0.8464001738917,0,0.10634723105433
0.35,0,0.83713667114706,0,0.10634723105433
0.375,0,0.8288855512156,0,0.10634723105433
0.4,0,0.82118081554211,0,0.10634723105433
0.425,0,0.8132950399857,0,0.10634723105433
0.45,0,0.80525026135511,0,0.10634723105433
0.475,0,0.79765063042765,0,0.10634723105433
0.5,0,0.79093779472116,0,0.10634723105433
0.525,0,0.78377321202817,0,0.10634723105433
0.55,0,0.77670887359097,0,0.10634723105433
0.575,0,0.76969250446768,0,0.10634723105433
0.6,0,0.76378161818558,0,0.10634723105433
0.625,0,0.75723770900064,0,0.10634723105434
0.65,0,0.75097459403079,0,0.10634723105434
0.675,0,0.74447901101561,0,0.10634723105434
0.7,0,0.73922632503909,0,0.10634723105434
0.725,0,0.73322036621334,0,0.10634723105434
0.75,0,0.72762109369355,0,0.10634723105435
0.775,0,0.72159055503241,0,0.10634723105435
0.8,0,0.71688526810316,0,0.10634723105436
0.825,0,0.71134871386211,0,0.10634723105437
0.85,0,0.70630617541277,0,0.10634723105438
0.875,0,0.70069157390806,0,0.10634723105439
0.9,0,0.69644687627567,0,0.10634723105441
0.925,0,0.69132251568952,0,0.10634723105443
0.95,0,0.68675193537336,0,0.10634723105446
0.975,0,0.68151025724255,0,0.10634723105449
1,0,0.67765713914363,0,0.10634723105441
1.025,0,0.67289687540515,0,0.10634723105444
1.05,0,0.66873024108722,0,0.10634723105442
1.075,0,0.6638238821657,0,0.10634723105443
1.1,0,0.66030676532914,0,0.10634723105443
1.125,0,0.65586988007112,0,0.10634723105443
1.15,0,0.65205196322017,0,0.10634723105442
1.175,0,0.64744803879724,0,0.10634723105442
1.2,0,0.64422163454739,0,0.10634723105442
1.225,0,0.64007342423748,0,0.10634723105442
1.25,0,0.63655888336632,0,0.10634723105442
1.275,0,0.63222858943163,0,0.10634723105442
1.3,0,0.62925560150146,0,0.10634723105442
1.325,0,0.62536630174099,0,0.10634723105442
1.35,0,0.62211754201207,0,0.10634723105442
1.375,0,0.61803558908585,0,0.10634723105442
1.4,0,0.61528500726223,0,0.10634723105442
1.425,0,0.61162893761833,0,0.10634723105442
1.45,0,0.60861450540355,0,0.10634723105442
1.475,0,0.60475862715321,0,0.10634723105442
1.5,0,0.60220444184933,0,0.10634723105442
1.525,0,0.59875932155315,0,0.10634723105442
1.55,0,0.59595268422276,0,0.10634723105442
1.575,0,0.59230321623676,0,0.10634723105442
1.6,0,0.58992343754602,0,0.10634723105442
1.625,0,0.58666983410356,0,0.10634723105442
1.65,0,0.5840484412095,0,0.10634723105442
1.675,0,0.58058796213887,0,0.10634723105442
1.7,0,0.5783638623051,0,0.10634723105442
1.725,0,0.57528474415851,0,0.10634723105442
1.75,0,0.57282929695845,0,0.10634723105442
1.775,0,0.56954232362403,0,0.10634723105442
1.8,0,0.56745784561613,0,0.10634723105442
1.825,0,0.56453821680461,0,0.10634723105442
1.85,0,0.56223209397299,0,0.10634723105442
1.875,0,0.55910482247098,0,0.10634723105442
1.9,0,0.55714611356106,0,0.10634723105442
1.925,0,0.55437271343913,0,0.10634723105442
1.95,0,0.552201515225,0,0.10634723105442
1.975,0,0.54922972518977,0,0.10634723105442
2,0,0.54737664139244,0,0.10634723105442
2.025,0,0.54474486312426,0,0.10634723105442
2.05,0,0.54268887948377,0,0.10634723105442
2.075,0,0.53987836672822,0,0.10634723105442
2.1,0,0.5381035547528,0,0.10634723105442
2.125,0,0.53561291527822,0,0.10634723105442
2.15,0,0.53365115459117,0,0.10634723105442
2.175,0,0.53098792154973,0,0.10634723105442
2.2,0,0.52928622726218,0,0.10634723105442
2.225,0,0.52692461950479,0,0.10634723105442
2.25,0,0.52505014375594,0,0.10634723105442
2.275,0,0.52252182830177,0,0.10634723105442
2.3,0,0.52088853443382,0,0.10634723105442
2.325,0,0.51864524976154,0,0.10634723105442
2.35,0,0.51685181024975,0,0.10634723105442
2.375,0,0.51444744904143,0,0.10634723105442
2.4,0,0.51287823297901,0,0.10634723105442
2.425,0,0.51074376108713,0,0.10634723105442
2.45,0,0.50902571360855,0,0.10634723105442
2.475,0,0.50673554581771,0,0.10634723105442
2.5,0,0.5052264413966,0,0.10634723105442
2.525,0,0.50319230397091,0,0.10634723105442
2.55,0,0.50154453627752,0,0.10634723105442
2.575,0,0.49935983982993,0,0.10634723105442
2.6,0,0.49790720292082,0,0.10634723105442
2.625,0,0.49596581456772,0,0.10634723105442
2.65,0,0.49438368408344,0,0.10634723105442
2.675,0,0.49229663825713,0,0.10634723105442
2.7,0,0.49089711585759,0,0.10634723105442
2.725,0,0.4890416671901,0,0.10634723105442
2.75,0,0.48752094733403,0,0.10634723105442
2.775,0,0.48552451686029,0,0.10634723105442
2.8,0,0.48417501938653,0,0.10634723105442
2.825,0,0.48239937822614,0,0.10634723105442
2.85,0,0.48093621198671,0,0.10634723105442
2.875,0,0.47902404879983,0,0.10634723105442
2.9,0,0.47772172527066,0,0.10634723105442
2.925,0,0.47602035274905,0,0.10634723105442
2.95,0,0.4746112123904,0,0.10634723105441
2.975,0,0.47277757194526,0,0.10634723105441
3,0,0.47151978780442,0,0.1063472310544
3.025,0,0.46988766685116,0,0.10634723105439
3.05,0,0.46852931884816,0,0.10634723105438
3.075,0,0.46676898860873,0,0.10634723105437
3.1,0,0.46555330563283,0,0.10634723105434
3.125,0,0.46398587948713,0,0.10634723105431
3.15,0,0.46267535376814,0,0.10634723105427
3.175,0,0.46098359147806,0,0.10634723105421
3.2,0,0.45980775023717,0,0.10634723105413
3.225,0,0.45830086980194,0,0.10634723105401
3.25,0,0.45703543304077,0,0.10634723105386
3.275,0,0.45540791385613,0,0.10634723105365
3.3,0,0.45426981759583,0,0.10634723105338
3.325,0,0.45281969583364,0,0.106347231053
3.35,0,0.45159682777285,0,0.1063472310525
3.375,0,0.45002959827157,0,0.10634723105183
3.4,0,0.44892729857081,0,0.10634723105095
3.425,0,0.44753047098496,0,0.10634723104977
3.45,0,0.44634784363202,0,0.10634723104822
3.475,0,0.44483728189085,0,0.10634723104617
3.5,0,0.44376896577204,0,0.10634723104349
3.525,0,0.44242225599735,0,0.10634723104
3.55,0,0.44127771524225,0,0.10634723103542
3.575,0,0.43982049601372,0,0.10634723102947
3.6,0,0.43878447439093,0,0.10634723102178
3.625,0,0.43748496423458,0,0.10634723101189
3.65,0,0.436376513555,0,0.10634723099908
