time,H_at_2delta,H_at_3delta,H_at_skin_depth,H_surface,avg_H
0.44,0.16907615936477,0.047500224788453,0.4085215372423,0.36812455562186,0.048723660540132
0.46,0.17672913359132,0.052796198310819,0.39239813762966,0.24868989036371,0.046068813586911
0.48,0.18285029673778,0.058047910258688,0.37115826154651,0.12533323698333,0.042894725199436
0.5,0.18730198834045,0.063173914213268,0.34507806911491,3.5897921416632e-09,0.039247138085719
0.52,0.18997438060479,0.068092789370182,0.31451518459737,-0.12533322986036,0.035179520944613
0.54,0.19078724263094,0.072724705249775,0.27990245858048,-0.24868988340968,0.030752200387092
0.56,0.18969120813887,0.076992928432742,0.24174062931341,-0.36812454894645,0.026031387921845
0.58,0.18666853517333,0.080825250392152,0.2005899846727,-0.48175367045264,0.021088116833569
0.6,0.18173335214393,0.084155316837372,0.15706114466447,-0.58778524880743,0.015997105301278
0.62,0.17493139105131,0.086923840479872,0.11180510037168,-0.6845471026838,0.010835563343864
0.64,0.16633921563009,0.089079680816461,0.065502658677903,-0.77051323984687,0.0056819621266881
0.66,0.15606295919607,0.090580776418792,0.018853452831105,-0.84432792296299,0.0006147848048792
0.68,0.1442365940323,0.09139491731783,-0.027435313145346,-0.90482705038732,-0.0042887215909829
0.7,0.13101976101996,0.091500347363353,-0.072660213101399,-0.95105651474212,-0.008953773706161
0.72,0.11659519476601,0.090886188896621,-0.11613286518538,-0.98228724976006,-0.013309239628106
0.74,0.10116578556486,0.089552684666764,-0.15719094146752,-0.99802672809467,-0.017288768252404
0.76,0.084951325038124,0.08751125461069,-0.19520874974857,-0.99802672877089,-0.020831842536602
0.78,0.068184987118703,0.084784367861224,-0.22960722288613,-0.98228725177804,-0.023884740116193
0.8,0.051109600095065,0.081405233105608,-0.2598631599835,-0.95105651807004,-0.026401386206063
0.82,0.033973768634145,0.077417313141999,-0.28551757530763,-0.90482705497269,-0.028344085399411
0.84,0.017027906998572,0.072873672131238,-0.30618302464406,-0.84432792873351,-0.029684120877611
0.86,0.00052024602429507,0.067836166571537,-0.32154979472925,-0.77051324671153,-0.030402211628356
0.88,-0.015307123197803,0.062374493393655,-0.33139085916754,-0.68454711053434,-0.030488820502706
0.9,-0.030222106597325,0.056565110744663,-0.33556552355585,-0.58778525752004,-0.029944308288851
0.92,-0.044006304597559,0.050490048963965,-0.33402170309409,-0.48175367988991,-0.028778931404408
0.94,-0.056458491559078,0.044235630924146,-0.32679679742651,-0.36812455895956,-0.027012683271529
0.96,-0.067397822412014,0.037891122283868,-0.31401714949705,-0.24868989384072,-0.024674981901035
0.98,-0.076666716001486,0.031547333257769,-0.29589609745972,-0.12533324054481,-0.021804208634359
1,-0.08413336977037,0.025295194231615,-0.27273065081149,-7.179583395148e-09,-0.018447105336961
1.02,-0.089693866217105,0.019224327927438,-0.24489684355793,0.12533322629887,-0.014658039567065
1.04,-0.093273838002289,0.013421640846634,-0.21284383803962,0.24868987993267,-0.0104981493238
1.06,-0.094829665535465,0.007969956387746,-0.17708687270998,0.36812454560875,-0.0060343808763259
1.08,-0.094349188243091,0.002946711354885,-0.13819916535174,0.48175366730688,-0.0013384348602721
1.1,-0.091851918384465,-0.0015772634475482,-0.096802899662502,0.58778524590323,0.0035143627267663
1.12,-0.087388754123423,-0.005538859182099,-0.053559437568915,0.68454710006695,0.0084462468156376
1.14,-0.081041196456508,-0.0088836838025533,-0.0091589118166662,0.77051323755865,0.013378238124463
1.16,-0.072920082418656,-0.011566919954425,0.035690636863412,0.84432792103948,0.018231387261015
1.18,-0.063163854611897,-0.013554032341939,0.080274406548407,0.90482704885886,0.022928018441072
1.2,-0.051936394411073,-0.014821313336091,0.12388208894834,0.95105651363282,0.027392953201887
1.22,-0.039424453077751,-0.015356258158397,0.16581905464604,0.9822872490874,0.031554694806058
1.24,-0.025834721351083,-0.015157763670425,0.20541729224451,0.99802672786927,0.035346554651513
1.26,-0.011390583782233,-0.014236147587916,0.24204592880615,0.99802672899629,0.038707702918445
1.28,0.0036713909525244,-0.012612987776254,0.27512116558138,0.9822872524507,0.041584126879294
1.3,0.01910516836434,-0.010320784126713,0.30411547225367,0.95105651917935,0.043929481754457
1.32,0.034659116407063,-0.007402448315444,0.32856589462964,0.90482705650115,0.045705820691405
1.34,0.050079962630482,-0.0039106294655732,0.34808134469084,0.84432793065701,0.046884192351478
1.36,0.065116777787397,9.3113675840254e-05,0.362348757979,0.77051324899975,0.047445096676834
1.38,0.079524923035633,0.0045392810106132,0.3711380211545,0.68454711315118,0.047378791646878
1.4,0.093069898452527,0.0093515245590011,0.37430559196809,0.58778526042424,0.046685446183709
1.42,0.10553103213797,0.014447849896253,0.37179675451152,0.48175368303567,0.045375136792647
1.44,0.11670495169798,0.019741906621602,0.36364647413921,0.36812456229726,0.04346768798853
1.46,0.12640878333481,0.025144347519266,0.34997883854064,0.24868989731773,0.040992359022183
1.48,0.13448302806692,0.030564234986156,0.33100509374365,0.1253332441063,0.03798738184561
1.5,0.14079406969582,0.035910472554184,0.30702030599057,1.0769373316365e-08,0.034499357600626
1.52,0.14523627494579,0.041093238938069,0.27839870210221,-0.12533322273739,0.030582521146975
1.54,0.14773365263545,0.046025401998716,0.24558776178861,-0.24868987645566,0.026297885227183
1.56,0.148241045696,0.050623890328,0.20910115504978,-0.36812454227104,0.021712277763713
1.58,0.14674483721932,0.054811000828356,0.16951063602544,-0.48175366416112,0.016897287469462
1.6,0.14326315938431,0.058515621669256,0.12743702111181,-0.58778524299903,0.011928134398689
1.62,0.1378456019508,0.061674351336592,0.083540393606905,-0.68454709745011,0.0068824832492724
1.64,0.13057242490359,0.064232496129131,0.038509689345384,-0.77051323527043,0.0018392181301396
1.66,0.12155328764971,0.066144930372694,-0.006948172452734,-0.84432791911597,-0.0031228018845115
1.68,0.11092551479736,0.067376805787323,-0.052119441721337,-0.9048270473304,-0.0079259867895056
1.7,0.098851925853904,0.067904098821305,-0.096294797607301,-0.95105651252351,-0.012495239653225
1.72,0.085518263058529,0.067713987320964,-0.13878053848437,-0.98228724841474,-0.016759141289945
1.74,0.071130257903379,0.066805050596342,-0.17890952546065,-0.99802672764386,-0.020651076917756
1.76,0.05591038259575,0.065187289727809,-0.21605170680505,-0.9980267292217,-0.024110287034749
1.78,0.040094337683251,0.062881967793367,-0.24962405732665,-0.98228725312336,-0.027082825941199
1.8,0.023927331225219,0.059921272536178,-0.27909977596644,-0.95105652028866,-0.029522412791927
1.82,0.0076602081816567,0.056347806791946,-0.30401659655901,-0.90482705802961,-0.031391161757839
1.84,-0.0084545089463772,0.052213914711962,-0.32398408070665,-0.84432793258052,-0.032660179782148
1.86,-0.024166605790938,0.047580854407148,-0.33868977776075,-0.77051325128796,-0.033310022504804
1.88,-0.039232125256485,0.04251783006035,-0.34790415477094,-0.68454711576803,-0.033331001165482
1.9,-0.053417217850642,0.037100898770375,-0.35148421866076,-0.58778526332844,-0.032723335645512
1.92,-0.066501832490675,0.031411769366666,-0.34937577351183,-0.48175368618142,-0.03149715123568
1.94,-0.078283189585353,0.025536512137262,-0.34161427736414,-0.36812456563497,-0.029672319181258
1.96,-0.088578981625195,0.01956419981753,-0.32832428502529,-0.24868990079474,-0.027278143519386
1.98,-0.097230250811142,0.013585501271195,-0.30971748568135,-0.12533324766778,-0.024352899147927
2,-0.10410389834472,0.0076912500412492,-0.28608936626202,-1.4359163237582e-08,-0.020943228411094
2.02,-0.10909478581135,0.001971010344624,-0.25781455318534,0.12533321917591,-0.01710340571837
2.04,-0.11212739552122,-0.0034883368751969,-0.22534090594979,0.24868987297865,-0.012894481794459
2.06,-0.11315702362734,-0.0086039655397746,-0.18918245572506,0.36812453893334,-0.0083833210562332
2.08,-0.1121704872085,-0.013298412041649,-0.14991130030814,0.48175366101536,-0.0036415472981237
2.1,-0.10918633416996,-0.017500798243833,-0.1081485832694,0.58778524009482,0.0012555856866254
2.12,-0.10425455265492,-0.021147950586365,-0.064554699556234,0.68454709483327,0.0062303807375954
2.14,-0.097455784553149,-0.024185397651896,-0.019818882021016,0.77051323298221,0.011203922497599
2.16,-0.088900055513261,-0.026568230459001,0.025351666897349,0.84432791719247,0.016097321799953
2.18,-0.078725041490175,-0.028261811916815,0.070242926935411,0.90482704580194,0.020832959647674
2.2,-0.067093899168243,-0.029242324253347,0.1141453193383,0.95105651141421,0.025335711166089
2.22,-0.054192694478289,-0.029497145785101,0.15636489619514,0.98228724774208,0.029534130226213
2.24,-0.040227469764966,-0.029025051086978,0.19623428331189,0.99802672741846,0.033361576056479
2.26,-0.025420995859429,-0.02783623140652,0.23312320404391,0.9980267294471,0.036757264075307
2.28,-0.010009260281409,-0.025952135001376,0.26644841811899,0.98228725379602,0.039667224372091
2.3,0.0057622530439246,-0.023405129918793,0.29568291870784,0.95105652139796,0.042045152720623
2.32,0.021642433881124,-0.020237994536081,0.32036424269675,0.90482705955807,0.043853140703807
2.34,0.037378504555914,-0.016503243897325,0.34010176310302,0.84432793450402,0.045062273435026
2.36,0.052720005167266,-0.012262302471169,0.35458284862544,0.77051325357618,0.045653085449598
2.38,0.06742274228909,-0.0075845363765145,0.36357779318877,0.68454711838487,0.045615867576499
2.4,0.081252638886422,-0.0025461603392584,0.36694343773874,0.58778526623264,0.04495081995069
2.42,0.093989424728998,0.0027709633813291,0.36462542716844,0.48175368932718,0.043668048752829
