time,avg_temperature,max_temperature
0,0,0
0.01,0.0064734388138136,0.0097540292837135
0.02,0.011477306998218,0.018899303744859
0.03,0.015497856372321,0.027160762172087
0.04,0.018784662702532,0.034417110954423
0.05,0.021495879304446,0.040670250570536
0.06,0.023743518830831,0.045993280796171
0.07,0.02561222074576,0.050490089123433
0.08,0.027168495018838,0.054271185690412
0.09,0.028465869401422,0.057441465262897
0.1,0.029548054872882,0.060095048230668
0.11,0.030451062126932,0.062313856407719
0.12,0.031204716321774,0.064167976540142
0.13,0.031833798707355,0.065716774318902
0.14,0.032358939180735,0.067010240161207
0.15,0.032797331473743,0.068090323784907
0.16,0.03316331535095,0.068992154851886
0.17,0.033468855258878,0.06974511553672
0.18,0.033723936243592,0.070373762796095
0.19,0.033936892649145,0.070898611764339
0.2,0.034114681619204,0.071336796496593
0.21,0.034263110976483,0.071702624955384
0.22,0.034387029243068,0.072008044025614
0.23,0.034490484167865,0.072263028576353
0.24,0.034576855018803,0.072475906692887
0.25,0.034648963000623,0.072653631410241
0.26,0.034709163424675,0.072802007678167
0.27,0.034759422651216,0.072925881898277
0.28,0.034801382322313,0.07302930018794
0.29,0.034836412985901,0.073115640522219
0.3,0.034865658863759,0.073187723061048
0.31,0.034890075226289,0.073247902260756
0.32,0.034910459595203,0.073298143776376
0.33,0.034927477793439,0.073340088665508
0.34,0.034941685693286,0.073375106990277
0.35,0.034953547373093,0.073404342567948
0.36,0.034963450275666,0.073428750331741
0.37,0.034971717863481,0.073449127522133
0.38,0.034978620184068,0.073466139727405
0.39,0.034984382690685,0.073480342624001
0.4,0.03498919360639,0.073492200126801
0.41,0.034993210071769,0.073502099539122
0.42,0.034996563278771,0.073510364214199
0.43,0.034999362754355,0.073517264104242
0.44,0.035001699938855,0.073523024582147
0.45,0.035003651172646,0.073527833804291
0.46,0.035005280189655,0.073531848856119
0.47,0.035006640199115,0.073535200882823
0.48,0.035007775623558,0.073537999372968
0.49,0.035008723549808,0.073540335734739
0.5,0.035009514940358,0.073542286281655
