time,avg_vonmises,max_disp_x,max_vonmises
0,0,0,0
0.05,2338.8731737277,0.005,3382.0669170331
0.1,4684.0777619073,0.01,6755.8117501685
0.15,7035.6256684006,0.015,10121.976860409
0.2,9393.5302203331,0.02,13481.267099531
0.25,11757.80602495,0.025,16834.352931673
0.3,14128.46889829,0.03,20181.871479073
0.35,16505.53578655,0.035,23524.428418892
0.4,18889.024697966,0.04,26862.599490112
0.45,21278.954638149,0.045,30196.932086871
0.5,23675.345546883,0.05,33527.946982806
