time,max_A,total_A
0,0,0
0.02,0.99138679744261,0.62480097758417
0.03,0.98908358832574,0.62447561932335
0.04,0.98670759764233,0.62415341581275
0.05,0.98426118071975,0.62383408549819
0.06,0.98174663193357,0.62351739698203
0.07,0.97916618627887,0.62320315857958
0.08,0.97652202089824,0.62289121022699
0.09,0.97381625656879,0.62258141717139
0.1,0.97105095915023,0.62227366504303
0.11,0.96912168613852,0.62196785598269
0.12,0.96724014238213,0.62166390557478
0.13,0.96528578745971,0.62136174042457
0.14,0.96326066338248,0.62106129622417
0.15,0.96116677113714,0.62076251620349
0.16,0.95900607110882,0.62046534988326
0.17,0.9567804835356,0.62016975206609
0.18,0.95449188899058,0.61987568201606
0.19,0.95214212888812,0.61958310278798
0.2,0.94973300601086,0.61929198067636
0.21,0.94780302469965,0.61900228476023
0.22,0.94593697314663,0.61871398652538
0.23,0.94400552329758,0.61842705954912
0.24,0.94201039072347,0.61814147923597
0.25,0.93995326093934,0.61785722259489
0.26,0.93783578954105,0.61757426805077
0.27,0.93565960237438,0.61729259528393
0.28,0.93342629573351,0.617012185093
0.29,0.9311374365859,0.61673301927721
0.3,0.92879456282105,0.61645508053484
0.31,0.92702513530672,0.61617835237316
0.32,0.9254219294922,0.61590281903891
0.33,0.92375560470169,0.61562846544406
0.34,0.9220276387914,0.61535527711002
0.35,0.92023948930216,0.61508324011623
0.36,0.91839259328547,0.61481234105463
0.37,0.9164883671678,0.61454256698948
0.38,0.91452820665027,0.61427390542149
0.39,0.9125134866411,0.61400634425595
0.4,0.91044556121848,0.61373987177415
0.41,0.90871388162411,0.61347447660771
0.42,0.90710764329305,0.61321014771556
0.43,0.90544387821736,0.61294687436309
0.44,0.90372386996568,0.61268464610329
0.45,0.90194888610734,0.61242345275969
0.46,0.90012017803979,0.61216328441075
0.47,0.89823898084507,0.6119041313757
0.48,0.89630651317345,0.61164598420156
0.49,0.89432397715243,0.61138883365128
0.5,0.89229255831948,0.61113267069277
0.51,0.8906720942842,0.61087748648891
0.52,0.88927635855973,0.61062327238827
0.53,0.88782504449697,0.61037001991656
0.54,0.8863192766113,0.61011772076868
