time,co2_aq_val,co3_val,h_plus,hco3_minus,oh_val,ph_val,total_h_val,total_hco3_val
0,0,0,1e-05,1e-05,0,0,0,0
0.1,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.2,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.3,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.4,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.5,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.6,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.7,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.8,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
0.9,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
1,0.00022115664858299,4.6902932840594e-11,1e-05,1e-05,1.0113465562971e-09,5,0.00023115568413936,0.00023115669548592
