time,avg_rho,max_rho,total_charge
0,0,0,0
0.02,0.028559933214294,0.8691343002513,0.028559933214294
0.04,0.025963575649358,0.79012209113754,0.025963575649358
0.06,0.023603250590326,0.71829281012504,0.023603250590325
0.08,0.02145750053666,0.65299346375004,0.021457500536659
0.1,0.019506818669691,0.59363042159094,0.01950681866969
0.12,0.017733471517901,0.53966401962813,0.0177334715179
0.14,0.016121337743546,0.49060365420739,0.016121337743546
0.16,0.014655761585042,0.44600332200672,0.014655761585042
0.18,0.013323419622765,0.40545756546065,0.013323419622765
0.2,0.012112199657059,0.36859778678241,0.012112199657059
0.22,0.011011090597327,0.33508889707492,0.011011090597327
0.24,0.010010082361206,0.30462627006811,0.010010082361206
0.26,0.0091000748738238,0.27693297278919,0.0091000748738236
0.28,0.0082727953398398,0.25175724799017,0.0082727953398396
0.3,0.007520723036218,0.22887022544561,0.0075207230362178
0.32,0.0068370209420163,0.20806384131419,0.0068370209420162
0.34,0.0062154735836512,0.18914894664927,0.0062154735836511
0.36,0.005650430530592,0.17195358786297,0.0056504305305919
0.38,0.0051367550278109,0.15632144351179,0.0051367550278108
0.4,0.0046697772980099,0.14211040319254,0.0046697772980098
0.42,0.0042452520890999,0.12919127562958,0.0042452520890999
0.44,0.0038593200809999,0.11744661420871,0.0038593200809999
0.46,0.003508472800909,0.10676964928064,0.003508472800909
0.48,0.0031895207280991,0.097063317527857,0.0031895207280991
0.5,0.0028995642982719,0.08823937957078,0.0028995642982719
0.52,0.0026359675438836,0.080217617791618,0.0026359675438835
0.54,0.0023963341308032,0.072925107083289,0.0023963341308032
0.56,0.0021784855734575,0.066295551893899,0.0021784855734575
0.58,0.0019804414304159,0.060268683539908,0.0019804414304159
0.6,0.0018004013003781,0.054789712309007,0.0018004013003781
0.62,0.0016367284548892,0.049808829371825,0.0016367284548891
0.64,0.0014879349589902,0.045280753974386,0.0014879349589901
0.66,0.0013526681445365,0.041164321794897,0.0013526681445365
0.68,0.001229698313215,0.037422110722633,0.001229698313215
0.7,0.0011179075574682,0.034020100656939,0.0011179075574682
0.72,0.0010162795976984,0.030927364233581,0.0010162795976983
0.74,0.00092389054336214,0.028115785666892,0.00092389054336212
0.76,0.00083990049396558,0.02555980515172,0.00083990049396557
0.78,0.00076354590360508,0.023236186501564,0.00076354590360506
0.8,0.00069413263964098,0.021123805910512,0.00069413263964097
0.82,0.00063102967240089,0.019203459918648,0.00063102967240088
0.84,0.00057366333854627,0.017457690835134,0.00057366333854625
0.86,0.00052151212595115,0.01587062803194,0.00052151212595114
0.88,0.00047410193268286,0.0144278436654,0.00047410193268285
0.9,0.00043100175698442,0.013116221514,0.00043100175698441
0.92,0.00039181977907675,0.01192383774,0.00039181977907674
0.94,0.00035619979916068,0.010839852490909,0.00035619979916067
0.96,0.00032381799923698,0.009854411355372,0.00032381799923697
0.98,0.00029437999930634,0.0089585557776109,0.00029437999930634
1,0.00026761818118759,0.00814414161601,0.00026761818118758
