time,T_avg,T_max,source_avg
0,0,0,0
0.2,0.0030709830187268,0.0080261619820934,0.072815707456955
0.4,0.0042980737871045,0.011092624360226,0.087544959599416
0.6,0.0046628578818459,0.011994649712287,0.090425485728536
0.8,0.0047590527255815,0.012231925723872,0.090983776194017
1,0.0047828235171161,0.012290524595595,0.091091750317426
1.2,0.0047884575305326,0.012304411406168,0.091112501265574
1.4,0.0047897557651599,0.012307611209409,0.091116500955679
1.6,0.0047900487965378,0.012308333448074,0.091117271035125
1.8,0.0047901078991414,0.012308479118819,0.091117270429921
2,0.004790125825674,0.012308523302515,0.091117419133215
