time,I_avg,Xe_avg,Xe_center,phi_center,phi_max
0,0,0,0,0,0
0.5,0.18242194846454,0.30977247508286,0.48683974720461,0.98551959045209,0.98487757959603
1,0.17435890410658,0.30146035317197,0.47377638084602,0.97139885486788,0.97076604288075
1.5,0.1666791617061,0.29322525720506,0.46083406879058,0.95763393309399,0.95701008818301
2,0.15936422029874,0.28508082376284,0.44803424234685,0.94422043947143,0.94360533270082
2.5,0.15239648309111,0.27703908714467,0.43539581467123,0.93115352687078,0.93054693246238
3,0.14575921268246,0.26911060858551,0.42293538384574,0.91842794551257,0.91782964110819
3.5,0.13943648853539,0.26130459636072,0.41066742163537,0.90603809694234,0.90544786383085
4,0.13341316658086,0.25362901737913,0.39860444886807,0.89397808350518,0.89339570681744
4.5,0.12767484084905,0.24609070082653,0.38675719832148,0.88224175364201,0.88166702251627
5,0.1222078070228,0.23869543438645,0.37513476594381,0.87082274330822,0.87025545102857
5.5,0.11699902781595,0.23144805353137,0.36374475118426,0.8597145137955,0.85915445790562
6,0.11203610008395,0.22435252434611,0.35259338715872,0.8489103862186,0.8483573686131
6.5,0.10730722357866,0.217412020316,0.34168566133031,0.83840357291162,0.83785739990689
7,0.10280117126411,0.21062899348452,0.33102542734105,0.82818720596154,0.82764768834803
7.5,0.09850726111398,0.2040052403593,0.32061550859002,0.81825436309169,0.81772131616933
8,0.094415329315844,0.19754196292114,0.31045779411539,0.80859809109328,0.80807133469164
8.5,0.090515704810963,0.19123982506787,0.30055332730181,0.79921142698954,0.79869078547416
9,0.086799185102105,0.18509900480343,0.29090238790106,0.79008741710487,0.78957271937123
9.5,0.083257013265342,0.17911924246281,0.28150456782246,0.78121913419885,0.78071021365514
10,0.079880856105024,0.17329988524422,0.27235884111995,0.77259969281472,0.77209638735462
10.5,0.076662783394284,0.16763992830277,0.26346362857501,0.76422226298121,0.76372441494774
11,0.073595248146348,0.16213805264313,0.25481685724892,0.75608008239696,0.75558753853841
11.5,0.070671067864743,0.15679266003323,0.2464160153533,0.74816646721787,0.74767907863667
12,0.067883406723137,0.15160190514661,0.23825820276522,0.74047482155938,0.73999244365482
12.5,0.065225758628059,0.14656372512739,0.23034017749153,0.73299864581757,0.73252113822306
13,0.062691931120148,0.14167586675923,0.22265839836779,0.7257315439059,0.72525877042154
13.5,0.060276030071818,0.13693591140741,0.21520906425733,0.71866722949731,0.7181990580184
14,0.057972445141398,0.13234129789254,0.20798814999967,0.7117995313551,0.71133583379715
14.5,0.055775835945807,0.12788934344325,0.20099143933985,0.70512239783004,0.70466305005086
15,0.053681118915789,0.12357726286607,0.19421455505586,0.69862990059562,0.69817478231501
15.5,0.05168345479953,0.11940218606103,0.18765298648635,0.69231623768787,0.69186523240526
16,0.049778236782239,0.11536117400329,0.18130211464728,0.68617573591164,0.68572873082227
16.5,0.047961079190899,0.11145123330274,0.17515723511397,0.68020285267072,0.67975973858048
17,0.046227806754973,0.10766932944633,0.16921357883269,0.67439217727429,0.67395284851387
17.5,0.044574444395322,0.10401239882041,0.16346633101516,0.6687384317694,0.66830278610774
18,0.042997207514992,0.10047735960426,0.15791064825873,0.66323647134416,0.66280440990179
18.5,0.041492492766868,0.097061121619408,0.15254167402568,0.65788128434424,0.65745271150648
19,0.040056869274453,0.093760595213726,0.14735455260552,0.65266799194083,0.6522428152713
19.5,0.038687070283231,0.090572699253985,0.14234444167608,0.64759184748626,0.64716997764074
20,0.037379985221202,0.087494368295276,0.13750652357103,0.64264823558994,0.6422295862309
20.5,0.036132652148276,0.084522558991195,0.13283601535413,0.63783267094535,0.63741715865716
21,0.034942250575202,0.081654255804126,0.12832817779358,0.63314079693583,0.63272834114096
21.5,0.033806094633734,0.078886476070915,0.12397832332318,0.62856838404509,0.62815890692132
22,0.032721626580591,0.076216274475324,0.11978182307134,0.62411132809616,0.62370475449489
22.5,0.031686410618709,0.073640746975061,0.11573411303277,0.61976564834048,0.61936190570636
23,0.030698127020061,0.071157034227827,0.11183069945289,0.61552748541718,0.61512650370901
23.5,0.029754566535139,0.068762324557631,0.10806716348967,0.61139309920086,0.61099481081392
24,0.028853625074938,0.066453856499756,0.10443916521334,0.60735886655462,0.60696320624447
