measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values
0,226,0.2,0.2,0,5.1443294069031e-12,0
0,254,0.8,0.6,0,8.5265128291212e-13,0
0,214,0.2,1.4,0,-7.389644451905e-13,0
0,146,0.8,1.8,0,1.8758328224067e-12,0
