time,Amp_x02,Amp_x04,Amp_x06,E_energy,E_peak,Ey_slab,Ey_source,Ey_x01,Ey_x02,Ey_x03,Ey_x05,Ey_x06,Ey_x07
2.2e-10,1.2633447431889e-135,1.198959184455e-88,2.0391835836483e-41,-3.1343544114577e-09,3.8775264659089e-06,7.6033485903448e-89,-2.4035103295285e-06,2.3480432523942e-165,-8.9377052557549e-136,-6.6880864131987e-106,-1.2059172378353e-72,-2.008291136745e-41,-2.177693649162e-16
2.3e-10,1.7870763431365e-134,1.2784506269719e-87,3.1664442873908e-40,-3.5935285152724e-09,4.8998499359384e-06,-5.8462134895608e-88,-2.2693168814809e-06,-8.1281058028184e-164,1.2659107392012e-134,9.8511136796676e-105,-2.9584334794348e-70,3.119272738821e-40,5.0385086214808e-16
2.4e-10,2.1932580480209e-133,1.2276835826908e-86,4.4789019240837e-39,-3.9102161043598e-09,6.1776257402791e-06,-7.234730527525e-87,-1.7912243969853e-06,4.9257402538027e-162,-1.5615110291933e-133,-1.0882575669662e-103,1.1571467227946e-68,-4.4117250858687e-39,3.9348211860787e-15
2.5e-10,2.9053247811041e-132,4.9860364600502e-85,5.7154700707433e-38,-3.9651665494014e-09,7.7716671396205e-06,4.9860158718126e-85,-8.2834314792978e-07,-5.6949226191475e-161,-2.0060532928352e-132,2.7184158689442e-103,-3.2954777201841e-67,5.6320673494837e-38,-1.761341001334e-14
2.6e-10,3.2555839011534e-130,1.6560786059174e-83,6.5874071664317e-37,-3.600578015583e-09,9.7551908751435e-06,-1.6347698133425e-83,7.8663042634323e-07,3.7172281690831e-160,2.2817109688645e-130,3.2116665168929e-101,8.391215131053e-66,-6.4933292065893e-37,-7.1883522055223e-14
2.7e-10,1.3707171123248e-128,4.485394820289e-82,6.8114530511507e-36,-2.6179382236059e-09,1.2217798671369e-05,4.4003909108846e-82,3.2375175039485e-06,-1.0014935777513e-155,-9.6106829563255e-129,-1.3420602167726e-99,-1.98131359082e-64,6.7167527379202e-36,3.2401143665624e-13
2.8e-10,3.9900179187949e-127,1.0955288230987e-80,6.2757847091726e-35,-7.7653297084303e-10,1.5268263127275e-05,-1.073873887556e-80,6.7182984280763e-06,-1.9592728980465e-151,2.7901096807604e-127,3.9416889738681e-98,4.4092152053291e-63,-6.1910989460733e-35,1.6582065111206e-12
2.9e-10,6.2201926602783e-126,2.4738838463077e-79,5.1099145283142e-34,2.2017885189483e-09,1.9037795624628e-05,2.4290924150952e-79,1.1412738723633e-05,8.8803002840297e-146,-4.2839922271597e-126,-1.0036559795672e-96,-8.9622645318373e-62,5.0426262281824e-34,-2.4527846050131e-12
3e-10,1.831543596322e-124,5.2455083565958e-78,3.6229686571366e-33,6.6239919586834e-09,2.3685765914143e-05,-5.1617476489597e-78,1.7474940452692e-05,-1.3997171665356e-143,1.2554692628976e-124,2.3424772665778e-95,1.7736803355583e-60,-3.5776713272029e-33,-3.2163866574615e-11
3.1e-10,3.8849646509815e-123,1.0554249335337e-76,2.2217400247112e-32,1.2807076350875e-08,2.9402745007704e-05,1.0399978796268e-76,2.4992390351609e-05,1.1984943598533e-138,-2.6154604804112e-123,-5.1198246159266e-94,-3.2939848432658e-59,2.1953064020927e-32,-6.5147033065569e-11
3.2e-10,7.3620647587047e-122,2.0186318917797e-75,1.1814110813497e-31,2.1051808523918e-08,3.6419217060593e-05,-1.9900371520277e-75,3.394942428031e-05,-5.5116183031624e-135,4.7858834431109e-122,1.0586457437867e-92,5.7638773885001e-58,-1.168140520729e-31,1.89121647152e-10
3.3e-10,1.1960670659727e-120,3.6596438159691e-74,5.7913214161202e-31,3.1602461505159e-08,4.5009405586529e-05,3.6075812320183e-74,4.4172827404858e-05,1.2520844526283e-130,-7.1580726399985e-121,-2.0797664125812e-91,-9.4722219739891e-57,5.7280389317593e-31,1.6081479777182e-09
