BCs_left_value,BCs_right_value,Materials_thermal_prop_values,avg_T:value,converged,max_T:value
65.190278506423,235.90028198851,0.71517085393351,161.61489616164,True,235.90028198851
37.352077149078,356.3160352585,4.7048792738998,198.51670653449,True,356.3160352585
9.8249694628336,241.46389620655,2.5786948691896,128.71446130628,True,241.46389620655
17.430133333849,246.3898437004,4.0641457698327,133.85791733536,True,246.3898437004
86.268452662457,376.38825728338,3.5222058739878,233.57599947392,True,376.38825728338
39.413047292173,324.45220807617,4.5816634298487,183.66052996022,True,324.45220807617
82.376346375448,381.11279790998,1.1400199139338,238.68889528082,True,381.11279790998
71.984053571181,310.50028548106,4.0042015392558,193.219259488,True,310.50028548106
58.624258496784,399.74173555648,0.85428366402501,238.45002038164,True,399.74173555648
45.73871400562,218.49863522326,2.3998028457095,135.4175567219,True,218.49863522326
1.2639229680809,203.03948422684,2.7042350915855,105.07921041491,True,203.03948422684
27.648018578984,367.86190888748,3.3298541390136,200.13244524857,True,367.86190888748
95.373641065665,335.04915714968,1.3850648887207,220.92713613268,True,335.04915714968
43.150501975009,389.45510985337,4.9781795056324,217.89307935803,True,389.45510985337
75.638438732274,226.58594569024,4.2641559423445,152.96875345714,True,226.58594569024
12.104488044424,369.64616071818,1.7469177141301,195.40711577736,True,369.64616071818
99.962217218718,253.55819537261,2.8410780417308,179.54670724727,True,253.55819537261
23.300853719213,207.04796885498,1.9864866150441,119.15967180045,True,207.04796885498
56.733815955519,317.32237392387,2.5460318448555,190.13750878354,True,317.32237392387
67.547651301562,351.50358406984,4.8148822952465,211.1698254109,True,351.50358406984
11.703163789899,257.7673863405,1.1026179144446,141.91515720159,True,257.7673863405
31.471878445192,278.79282332327,4.4817334754576,156.89878048329,True,278.79282332327
81.265047864496,331.18116870965,1.0003234934655,214.13721479167,True,331.18116870965
84.571205876915,304.27006654943,4.129380587695,196.33779218831,True,304.27006654943
24.778049323055,313.79673121639,2.2038874201735,172.87952777848,True,313.79673121639
89.63920126301,286.84806032431,0.57147439673296,202.09668652436,True,286.84806032431
7.6211671930736,222.87052765417,1.5672614249289,120.29712128357,True,222.87052765417
50.111239537244,337.78509719273,0.6043842160082,207.04690002693,True,337.78509719273
15.525647705442,321.10104219723,4.4357736029744,170.09807685508,True,321.10104219723
77.03646054269,297.72743570617,1.2529031225987,193.70060638598,True,297.72743570617
32.010494387077,302.65212472424,2.8259082060909,170.13276879979,True,302.65212472424
93.356919032446,210.95462768136,3.1281013643294,154.68659501025,True,210.95462768136
53.399906119423,229.73982758526,1.7821326699326,146.01211001429,True,229.73982758526
20.333282943603,374.83062982894,2.2422384849547,201.1126542665,True,374.83062982894
28.552852844155,386.25217951684,1.9056090018267,211.55691860981,True,386.25217951684
48.098266013206,355.71032086776,3.7577451314695,204.01105331633,True,355.71032086776
35.879167406952,268.63405852928,3.0916765753899,154.81725166191,True,268.63405852928
61.773184765599,346.9161494962,2.9377457905514,207.03947710761,True,346.9161494962
68.153677285252,213.35703475911,1.4173923122548,146.34073037399,True,213.35703475911
40.326475067069,249.01741615584,3.847611342326,146.72949923689,True,249.01741615584
91.521452072306,340.33702979485,0.91908565092178,224.54287412238,True,340.33702979485
62.008269560682,262.64636584172,4.3187671577876,164.1604025562,True,262.64636584172
4.1525326487957,265.00004712858,2.0929997754058,138.35873972938,True,265.00004712858
18.692435521993,236.56879647494,3.2036904317533,130.1017245014,True,236.56879647494
2.6483498981201,290.82410866113,3.7159456186209,148.8666874399,True,290.82410866113
54.465632415904,293.90444211927,1.5914716983711,179.15946859086,True,293.90444211927
96.69803771032,393.14388979563,2.3160959139094,248.33907205231,True,393.14388979563
73.52832021651,283.09477599553,4.849066732647,179.94416467046,True,283.09477599553
79.874228552027,361.45041110621,3.6453267402012,222.83405016487,True,361.45041110621
47.012499958965,275.10584506055,3.4404466793403,163.36023031019,True,275.10584506055
