time,avg_u,avg_v
0,0,0
0.01,0.10044961658707,-0.00050850483527981
0.03,0.18253662964315,-0.0021965672121048
0.07,0.27711321156375,-0.0065001689236071
0.15,0.3757315585446,-0.014670758985738
0.31,0.45044166806945,-0.02468695004411
0.63,0.48572277689626,-0.031686902150151
1.27,0.49513077595298,-0.034263253805059
2,0.49639765277391,-0.034712139691455
