time,E_sq_air,E_sq_dielectric,avg_phi_air,avg_phi_dielectric,max_phi,phi_air_mid,phi_dielectric_mid,phi_interface
0,0,0,0,0,0,0,0,0
1,0.33351851852859,0.3335185185232,0.50000000000929,0.50000000000432,0.99295583782036,0.50000000001314,0.50000000000657,0.50000000000499
