time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0.00088,-687601.49949313,9.8228785641876e-05,1.3316595765406e-08,5.1012283827933e-45
0.0009,-691382.20042082,9.8768885774403e-05,3.9532931229082e-08,6.8661705568002e-44
0.00092,-694480.58739746,9.9211512485351e-05,1.0848599586943e-07,8.9100046684913e-43
0.00094,-696893.60267488,9.9556228953553e-05,2.7458502095829e-07,1.1150722992725e-41
0.00096,-698618.86488718,9.9802694983883e-05,6.3944134651878e-07,1.3462231353976e-40
0.00098,-699654.6714009,9.9950667342985e-05,1.3664084979341e-06,1.5683270695011e-39
0.001,-699999.99999528,9.9999999999325e-05,2.6717165567518e-06,1.7634711402936e-38
0.00102,-699654.5098711,9.9950644267299e-05,4.7668398524873e-06,1.9142960640795e-37
0.00104,-698618.54198699,9.9802648855283e-05,7.7431626715304e-06,2.006533884714e-36
0.00106,-696893.11872296,9.9556159817565e-05,1.1441279666142e-05,2.0312303684894e-35
0.00108,-694479.94287142,9.9211420410202e-05,1.5411777947529e-05,1.9861732786766e-34
0.0011,-691381.39595673,9.8768770850961e-05,1.9079013283678e-05,1.8762120791786e-33
0.00112,-687600.53588491,9.8228647983557e-05,2.2088240793355e-05,1.7124067877245e-32
0.00114,-683141.09392581,9.7591584846544e-05,2.4593317944994e-05,1.5102107618953e-31
0.00116,-678007.47103085,9.6858210147264e-05,2.715817665824e-05,1.2870971976066e-30
0.00118,-672204.73348972,9.6029247641389e-05,3.0232764960801e-05,1.0601276303307e-29
0.0012,-665738.60793059,9.5105515418655e-05,3.3671893907612e-05,8.4391802064363e-29
0.00122,-658615.47566855,9.4087925095507e-05,3.6885781994215e-05,6.4931050558072e-28
0.00124,-650842.36640804,9.2977480915434e-05,3.9554877766433e-05,4.8286082107783e-27
0.00126,-642426.95130532,9.1775278757902e-05,4.2043250227568e-05,3.4706335036125e-26
0.00128,-633377.53539791,9.0482505056844e-05,4.4889723205987e-05,2.4110445437047e-25
0.0013,-623703.04940855,8.9100435629792e-05,4.8022129531156e-05,1.6188119029674e-24
