time,avg_v,v_load,v_mid,v_quarter,v_three_quarter
0,0,0,0,0,0
0.05,0.070769579151644,1.4257677282608e-06,0.00084432510404906,0.029057262474796,2.4554473087427e-05
0.1,0.10609549220478,1.153276708322e-05,0.0038369603262608,0.080552630273862,0.00015517442584546
0.15,0.13260462162677,4.987012889982e-05,0.0098849393737918,0.13899190397039,0.00053521821770268
0.2,0.15469802410815,0.00015359918470715,0.01916233321403,0.19506312300093,0.0013412897198592
0.25,0.17403067262912,0.0003787099945168,0.031273632121841,0.24532447361125,0.0027419896769748
0.3,0.19143051646277,0.00079635604528648,0.045558121659203,0.2892626153096,0.0048657186890176
0.35,0.20738064080348,0.0014856898852431,0.061323257784339,0.32744730542528,0.0077863834214523
0.4,0.22219164047928,0.0025255330253762,0.077965906249548,0.36071608396356,0.011524746891145
0.45,0.23607706539975,0.0039869563254964,0.095012018193416,0.38987646289479,0.016058798317661
0.5,0.24919115157232,0.0059279873476129,0.11211317233265,0.41562039791634,0.021337020696449
0.55,0.2616495754051,0.0083907768993468,0.12902614498366,0.43851579311637,0.027290710896082
0.6,0.27354171783163,0.011400946149159,0.14558920821228,0.45902187941079,0.033843661223524
0.65,0.28493832879854,0.014968546811406,0.16170092069526,0.47750916784049,0.04091891226768
0.7,0.29589653773299,0.019090020893342,0.17730309820049,0.49427769137116,0.04844297590139
0.75,0.30646325246925,0.023750636194374,0.19236788511954,0.50957199905657,0.056348148213959
0.8,0.31667753749892,0.028927013450772,0.20688824644623,0.5235929723715,0.064573510365574
0.85,0.32657232246721,0.034589498779971,0.22087110769683,0.53650698172996,0.073065098983686
0.9,0.33617565773657,0.040704247087799,0.23433246626115,0.54845294616115,0.08177559557571
0.95,0.34551165559649,0.047234962426053,0.24729393948009,0.5595477814855,0.090663770265633
1,0.35460120832383,0.054144293060072,0.25978034761016,0.56989062233541,0.099693828427778
1.05,0.36346254467263,0.061394908664022,0.2718180375998,0.57956611336138,0.10883474796487
1.1,0.37211166731237,0.068950301255611,0.28343373541974,0.58864699255692,0.11805965478139
1.15,0.38056270115933,0.076775355758299,0.29465377473697,0.59719613406988,0.12734525877746
1.2,0.38882817406277,0.084836734551764,0.30550359302275,0.60526817611777,0.13667135767592
1.25,0.39691924546939,0.093103115849843,0.31600741715073,0.61291082852563,0.14602040762557
1.3,0.4048458946001,0.10154532001657,0.32618808262438,0.62016593129123,0.15537715529755
1.35,0.4126170767617,0.1101363520516,0.33606694633042,0.62707031838029,0.16472832443805
1.4,0.42024085431518,0.11885138301354,0.34566386398789,0.63365652811185,0.17406234948928
1.45,0.42772450728525,0.12766768836222,0.35499721155575,0.63995339186562,0.18336914927525
1.5,0.43507462745969,0.13656455716488,0.36408393569476,0.64598652559183,0.19263993447247
1.55,0.4422971989778,0.14552318280075,0.37293962259859,0.65177874311678,0.20186704342107
1.6,0.4493976677664,0.15452654314006,0.38157857757125,0.65735040606504,0.21104380165519
1.65,0.45638100169464,0.16355927607337,0.39001390995444,0.66271972203192,0.22016440128392
1.7,0.46325174294434,0.17260755463169,0.39825761963045,0.66790300019342,0.22922379701157
1.75,0.47001405380385,0.18165896467966,0.40632068250669,0.67291487165447,0.23821761614425
1.8,0.4766717568674,0.19070238720723,0.41421313324691,0.6777684803746,0.24714208039612
1.85,0.48322837044562,0.19972788652681,0.42194414413593,0.68247564937223,0.25599393769255
1.9,0.48968713985248,0.20872660514912,0.42952209941329,0.68704702601865,0.26477040248214
1.95,0.49605106512294,0.21769066572075,0.4369546647313,0.69149220953224,0.2734691033253
2,0.50232292562587,0.22661308012571,0.4442488516195,0.69581986323016,0.28208803673541
2.05,0.50850530196481,0.23548766565587,0.45141107699418,0.70003781365405,0.29062552641781
2.1,0.51460059550011,0.2443089680201,0.45844721785783,0.70415313833427,0.29908018718936
2.15,0.52061104577791,0.253072190874,0.46536266140253,0.70817224367356,0.30745089297372
2.2,0.52653874611142,0.26177313149854,0.47216235077318,0.71210093420113,0.31573674835952
2.25,0.53238565752694,0.27040812222717,0.47885082676933,0.71594447426095,0.32393706328413
2.3,0.53815362125899,0.27897397721127,0.48543226577321,0.71970764304404,0.33205133046826
2.35,0.54384436995576,0.28746794411561,0.49191051419082,0.72339478374729,0.34007920527863
2.4,0.54945953773599,0.29588766034723,0.49828911968557,0.72700984753539,0.34802048773912
2.45,0.55500066922131,0.30423111343808,0.50457135947257,0.73055643289379,0.35587510644764
2.5,0.5604692276536,0.3124966052221,0.51076026592678,0.73403782088555,0.36364310418649
2.55,0.56586660219419,0.32068271947059,0.51685864974308,0.73745700676131,0.37132462504039
2.6,0.57119411449071,0.32878829267272,0.52286912086906,0.74081672831742,0.37891990285864
2.65,0.57645302458793,0.33681238767189,0.52879410741548,0.74411949135056,0.38642925091743
2.7,0.5816445362504,0.3447542698915,0.53463587273239,0.74736759251659,0.39385305265458
2.75,0.58676980175752,0.35261338590573,0.54039653082401,0.75056313986691,0.40119175336391
2.8,0.59182992622508,0.36038934413214,0.54607806026003,0.75370807130457,0.40844585274879
2.85,0.59682597150144,0.36808189744232,0.55168231672761,0.75680417117607,0.41561589824539
2.9,0.60175895968172,0.37569092750515,0.55721104435502,0.75985308519111,0.42270247903617
2.95,0.60662987627869,0.38321643069455,0.56266588592604,0.76285633384204,0.42970622068251
3,0.61143967308492,0.39065850540876,0.56804839209318,0.76581532447642,0.43662778031279
3.05,0.6161892707574,0.39801734066291,0.57336002968752,0.76873136215994,0.44346784230928
3.1,0.6208795611526,0.40529320582973,0.5786021892138,0.7716056594527,0.45022711444289
3.15,0.62551140943679,0.41248644141499,0.58377619161086,0.77443934520879,0.45690632441015
3.2,0.6300856559944,0.41959745076553,0.58888329434971,0.77723347249813,0.46350621673164
3.25,0.63460311815447,0.42662669261748,0.59392469693479,0.77998902573907,0.47002754997505
3.3,0.6390645917533,0.43357467440109,0.59890154586713,0.78270692712124,0.47647109427013
3.35,0.64347085254985,0.44044194622727,0.603814939123,0.78538804239014,0.48283762908588
3.4,0.64782265750834,0.44722909548762,0.60866593019572,0.78803318605757,0.48912794124337
3.45,0.65212074596135,0.45393674200711,0.61345553174411,0.79064312609556,0.49534282314057
3.5,0.6563658406653,0.46056553369404,0.61818471888662,0.79321858816555,0.50148307116743
3.55,0.66055864875895,0.46711614263777,0.6228544321761,0.79576025942951,0.50754948429229
3.6,0.66469986263458,0.47358926160927,0.62746558028716,0.79826879198468,0.51354286280202
3.65,0.66879016073041,0.47998560092441,0.63201904244448,0.80074480595979,0.51946400718048
3.7,0.67283020825211,0.48630588563343,0.6365156706178,0.80318889230654,0.52531371711126
3.75,0.67682065783038,0.49255085300409,0.64095629150683,0.80560161531667,0.53109279059204
3.8,0.68076215012085,0.49872125026886,0.64534170833688,0.80798351489233,0.53680202314939
3.85,0.68465531435206,0.50481783260984,0.64967270248397,0.81033510859406,0.54244220714362
3.9,0.68850076882654,0.51084136135731,0.65395003494638,0.81265689348884,0.54801413115471
3.95,0.69229912137956,0.51679260238066,0.65817444767785,0.81494934781797,0.55351857944094
4,0.69605096979986,0.5226723246521,0.66234666479613,0.81721293250289,0.5589563314629
4.05,0.6997569022158,0.52848129896595,0.66646739367919,0.81944809250498,0.5643281614661
4.1,0.70341749745058,0.53422029679771,0.67053732596033,0.82165525805401,0.56963483811627
4.15,0.70703332534924,0.53989008928881,0.67455713843206,0.82383484575811,0.57487712418196
4.2,0.71060494708047,0.54549144634439,0.67852749386778,0.8259872596074,0.58005577625945
4.25,0.71413291541544,0.55102513583266,0.68244904176948,0.82811289188144,0.58517154453581
4.3,0.71761777498588,0.55649192287548,0.68632241904859,0.83021212397046,0.5902251725859
4.35,0.72106006252354,0.56189256922102,0.69014825064676,0.83228532711861,0.59521739720014
4.4,0.72446030708268,0.56722783269013,0.69392715010223,0.83433286309722,0.60014894823944
