time,avg_stress_xx,disp_x_left,disp_x_right
0,0,0,0
2e-05,-439.90587021459,2.1995293510729e-08,1.0666346967085e-119
4e-05,-1975.4263605863,9.8771318029312e-08,1.0504775486185e-116
6e-05,-4549.5569368473,2.2747784684236e-07,5.3396314462542e-100
8e-05,-8031.540567564,4.015770283782e-07,-2.4077493932239e-98
0.0001,-12620.651049815,6.3103255249077e-07,5.9447306989778e-97
0.00012,-18210.422328302,9.1052111641511e-07,-1.0849689589387e-95
0.00014,-24746.449521631,1.2373224760815e-06,1.6218473792465e-94
0.00016,-32371.38412448,1.618569206224e-06,-2.0725761825333e-93
0.00018,-40991.827314831,2.0495913657416e-06,2.3057464007641e-92
0.0002,-50574.522175733,2.5287261087866e-06,-2.2526527101726e-91
0.00022,-60795.355599063,3.0397677799531e-06,1.9361103833703e-90
0.00024,-70914.563179794,3.5457281589897e-06,-1.4623502395901e-89
0.00026,-80966.724898688,4.0483362449344e-06,9.7175379120138e-89
0.00028,-91181.826215552,4.5590913107776e-06,-5.754428255693e-88
0.0003,-101283.13651171,5.0641568255853e-06,3.2418508359571e-87
0.00032,-111361.69592631,5.5680847963156e-06,-1.5883236649298e-86
0.00034,-121559.51806168,6.0779759030838e-06,2.448683897146e-85
0.00036,-131661.39801422,6.583069900711e-06,5.5929811799012e-84
0.00038,-141750.41581691,7.0875207908454e-06,3.0027445736372e-82
0.0004,-151938.62980238,7.5969314901188e-06,1.2821273278302e-80
0.00042,-161601.59830636,8.0800799153178e-06,5.2473151536833e-79
0.00044,-170161.36075813,8.5080680379063e-06,2.0196472577544e-77
0.00046,-177769.11583432,8.888455791716e-06,7.3399098636912e-76
0.00048,-184390.7192155,9.219535960775e-06,2.5238215670924e-74
0.0005,-189901.35295302,9.4950676476507e-06,8.2247070950955e-73
0.00052,-194488.8502185,9.724442510925e-06,2.5444435753867e-71
0.00054,-198056.88216792,9.902844108396e-06,7.4837595669419e-70
0.00056,-200535.1681275,1.0026758406375e-05,2.0955344854257e-68
0.00058,-202088.39749272,1.0104419874636e-05,5.5932334089946e-67
0.0006,-202610.06826329,1.0130503413165e-05,1.4247104984569e-65
0.00062,-202495.31509177,1.0124765754588e-05,3.466966753687e-64
0.00064,-202546.8499511,1.0127342497555e-05,8.0679092411414e-63
