time,T_avg,T_max,T_min
0,0,0,0
0.02,0.14192358780709,0.93690156958295,1.197563571036e-05
0.04,0.21131958894604,0.96384022345667,5.9231495235381e-05
0.06,0.26206275616904,0.97322658950905,0.00016288681035629
0.08,0.3023766199239,0.97848333320005,0.00033138815836126
0.1,0.33536481191824,0.98209245524598,0.00055942242767482
0.12,0.36267617139028,0.98480045666133,0.00083273054272967
0.14,0.38539714369341,0.98691266344717,0.0011338481089114
0.16,0.40433770218901,0.98858868167413,0.0014462155911886
0.18,0.42014044167173,0.98992934533205,0.001756265038764
0.2,0.43333001782294,0.99100640905075,0.0020540194820262
0.22,0.4443402615002,0.99187418173536,0.0023328603898754
0.24,0.45353187673814,0.99257494925595,0.0025889429890066
0.26,0.46120547436094,0.99314204718138,0.0028205372777163
0.28,0.46761183588738,0.99360190409318,0.0030274277592362
0.3,0.47296026317067,0.99397553688049,0.0032104202908942
0.32,0.47742547122135,0.99427969585423,0.0033709616774881
0.34,0.48115331503377,0.99452775801094,0.0035108592537188
0.36,0.48426556083829,0.9947304285009,0.0036320819596411
0.38,0.48686386593877,0.99489629274475,0.0037366245416822
0.4,0.4890331000892,0.9950322514455,0.0038264189572447
0.42,0.49084411794989,0.99514386365978,0.0039032801044417
0.44,0.49235607355607,0.99523561769683,0.0039688758869732
0.46,0.49361835253052,0.99531114537023,0.0040247140827667
0.48,0.49467218520036,0.99537339177093,0.0040721404608518
0.5,0.49555199332489,0.99542475008333,0.0041123441240791
