time,avg_B,max_B,min_B
0,0,0,0
0.2,0.045092497513598,0.92328361396286,3.1688304503456e-11
0.4,0.067269135468805,0.95416461605961,3.7797794957071e-10
0.6,0.083992500846293,0.96502125635174,2.3482926623963e-09
0.8,0.097944527847771,0.97070535789488,1.013380478457e-08
1,0.11015841413984,0.97430911302978,3.417526192926e-08
1.2,0.12115380796538,0.97684855278247,9.6069823921899e-08
1.4,0.13123455553022,0.97876037120821,2.3446247836487e-07
1.6,0.14059620819709,0.98026619248481,5.1087348654702e-07
1.8,0.14937326047773,0.98149176091552,1.0142252872763e-06
2,0.15766281948995,0.9825143522289,1.8630159792571e-06
2.2,0.16553763736705,0.9833843932556,3.2045500733766e-06
2.4,0.17305381659255,0.9841363658028,5.2112054096998e-06
2.6,0.18025562802848,0.98479474899875,8.0742178070656e-06
2.8,0.18717866362694,0.9853774630669,1.1995794210755e-05
3,0.19385197913619,0.98589796746255,1.7180489153693e-05
3.2,0.20029959820516,0.98636659335908,2.382672602954e-05
3.4,0.2065415981965,0.98679142005174,3.2119172625299e-05
3.6,0.21259491347533,0.9871788689195,4.2222453251868e-05
3.8,0.21847394260462,0.98753411654278,5.4276449969809e-05
4,0.22419101604672,0.98786138862551,6.8393247198364e-05
4.2,0.22975676237896,0.98816417333322,8.4655624200855e-05
4.4,0.23518039913713,0.98844537891427,0.00010311690176017
4.6,0.24046996661518,0.98870745201912,0.00012380189738742
4.8,0.24563251774671,0.98895246779538,0.00014670872802617
5,0.25067427364967,0.98918219938322,0.00017181120977939
5.2,0.25560075195792,0.98939817215468,0.00019906163096414
5.4,0.26041687332766,0.98960170650196,0.00022839370989706
5.6,0.26512705026089,0.98979395192576,0.00025972558642365
5.8,0.2697352614772,0.9899759144391,0.00029296273243601
6,0.27424511438898,0.99014847878202,0.00032800069916895
6.2,0.27865989772445,0.99031242656943,0.00036472764679377
6.4,0.28298262595097,0.99046845122344,0.00040302662443805
6.6,0.28721607684662,0.99061717034236,0.00044277758646164
6.8,0.29136282332757,0.99075913601051,0.00048385914412406
7,0.29542526044698,0.9908948434422,0.0005261500613287
7.2,0.29940562832655,0.99102473826878,0.00056953050959785
7.4,0.30330603165586,0.99114922271385,0.00061388310145328
7.6,0.30712845629164,0.9912686608517,0.00065909372351861
7.8,0.31087478340355,0.9913833831058,0.00070505219140206
8,0.31454680154253,0.99149369011417,0.00075165274815923
8.2,0.31814621694881,0.99159985606441,0.00079879442719085
8.4,0.3216746623672,0.99170213158266,0.00084638129904736
8.6,0.32513370459584,0.9918007462455,0.00089432261997604
8.8,0.32852485096011,0.99189591077189,0.00094253289829545
9,0.33184955487346,0.99198781894258,0.00099093189291419
9.2,0.33510922062282,0.99207664928617,0.0010394445565938
9.4,0.33830520749462,0.99216256656512,0.0010880009349334
9.6,0.34143883334045,0.99224572308908,0.0011365360305529
9.8,0.34451137766584,0.99232625987929,0.001184989640584
10,0.34752408431317,0.99240430770339,0.0012333061743541
10.2,0.35047816379912,0.99247998799788,0.0012814344570542
10.4,0.35337479535765,0.99255341369214,0.0013293275242259
10.6,0.35621512873201,0.99262468994656,0.001376942411066
10.8,0.35900028575255,0.9926939148151,0.0014242399398195
11,0.3617313617318,0.99276117984132,0.0014711845079127
11.2,0.36440942670312,0.99282657059581,0.0015177438789429
11.4,0.36703552652584,0.99289016716154,0.0015638889781885
11.6,0.36961068387578,0.99295204457325,0.001609593693923
11.8,0.37213589913764,0.99301227321567,0.0016548346854957
12,0.37461215121296,0.9930709191853,0.0016995911988726
12.2,0.37704039825561,0.99312804461948,0.0017438448901131
12.4,0.37942157834467,0.99318370799612,0.0017875796570728
12.6,0.38175661010327,0.99323796440729,0.0018307814794776
12.8,0.38404639327064,0.99329086580907,0.0018734382673921
13,0.38629180923361,0.99334246125019,0.0019155397180113
13.2,0.38849372152262,0.99339279708142,0.0019570771806288
13.4,0.39065297627696,0.99344191714755,0.0019980435295764
13.6,0.39277040268291,0.99348986296375,0.002038433044887
13.8,0.39484681338798,0.99353667387748,0.002078241300398
14,0.39688300489427,0.99358238721757,0.0021174650589943
14.2,0.39887975793303,0.99362703843136,0.0021561021746701
14.4,0.40083783782264,0.99367066121121,0.002194151501085
14.6,0.40275799481177,0.99371328761105,0.0022316128062855
14.8,0.404640964409,0.9937549481541,0.0022684866932629
15,0.40648746770049,0.99379567193224,0.0023047745260259
15.2,0.40829821165647,0.993835486698,0.0023404783608717
15.4,0.41007388853679,0.99387441828384,0.0023756003494685
15.6,0.41181517908119,0.99391249310812,0.0024101446488252
