time,avg_phi_a,avg_phi_b,phi_interface
1.26,0.59999789690946,0.099998780414573,0.19999783582409
1.28,0.59999826438469,0.09999899351402,0.19999821397283
1.3,0.59999856765059,0.099999169378377,0.19999852604724
1.32,0.59999881792651,0.09999931451377,0.19999878359257
1.34,0.59999902447146,0.099999434289502,0.19999899613672
1.36,0.59999919492659,0.099999533136694,0.19999917154281
1.38,0.59999933559792,0.099999614712213,0.19999931630001
1.4,0.5999994516896,0.099999682033954,0.19999943576363
1.42,0.59999954749645,0.099999737592497,0.19999953435325
1.44,0.59999962656288,0.099999783443237,0.1999996157162
1.46,0.59999969181394,0.099999821282429,0.19999968286251
1.48,0.59999974566361,0.099999852509939,0.19999973827628
1.5,0.59999979010408,0.099999878281033,0.19999978400754
1.52,0.59999982677941,0.099999899549116,0.19999982174813
1.54,0.59999985704643,0.099999917101005,0.19999985289427
1.56,0.59999988202486,0.099999931586034,0.19999987859821
1.58,0.59999990263878,0.099999943540079,0.19999989981087
1.6,0.59999991965081,0.09999995340538,0.19999991731702
1.62,0.59999993369031,0.099999961546907,0.19999993176431
1.64,0.59999994527667,0.099999968265857,0.1999999436872
1.66,0.59999995483854,0.099999973810797,0.1999999535268
1.68,0.59999996272965,0.099999978386864,0.19999996164711
1.7,0.59999996924193,0.09999998216335,0.19999996834855
1.72,0.59999997461632,0.099999985279967,0.19999997387904
1.74,0.59999997905164,0.099999987852014,0.19999997844318
1.76,0.59999998271197,0.099999989974644,0.19999998220983
1.78,0.59999998573272,0.099999991726385,0.19999998531832
1.8,0.59999998822566,0.099999993172043,0.19999998788367
1.82,0.599999990283,0.099999994365099,0.19999999000077
1.84,0.59999999198087,0.099999995349691,0.19999999174794
1.86,0.59999999338206,0.099999996162245,0.19999999318984
1.88,0.59999999453842,0.09999999683282,0.19999999437978
1.9,0.59999999549272,0.099999997386224,0.19999999536181
1.92,0.59999999628029,0.099999997842932,0.19999999617224
1.94,0.59999999693024,0.099999998219839,0.19999999684107
1.96,0.59999999746662,0.099999998530888,0.19999999739304
1.98,0.59999999790928,0.099999998787588,0.19999999784855
2,0.59999999827459,0.099999998999434,0.19999999822448
2.02,0.59999999857608,0.099999999174264,0.19999999853472
2.04,0.59999999882488,0.099999999318546,0.19999999879075
2.06,0.59999999903021,0.099999999437617,0.19999999900204
2.08,0.59999999919966,0.099999999535883,0.19999999917642
2.1,0.59999999933951,0.099999999616978,0.19999999932032
2.12,0.59999999945491,0.099999999683904,0.19999999943908
2.14,0.59999999955016,0.099999999739136,0.19999999953709
2.16,0.59999999962876,0.099999999784717,0.19999999961798
2.18,0.59999999969363,0.099999999822334,0.19999999968473
2.2,0.59999999974716,0.099999999853377,0.19999999973982
2.22,0.59999999979134,0.099999999878997,0.19999999978528
2.24,0.5999999998278,0.09999999990014,0.1999999998228
2.26,0.59999999985789,0.099999999917589,0.19999999985376
2.28,0.59999999988272,0.099999999931988,0.19999999987931
2.3,0.59999999990321,0.099999999943872,0.1999999999004
2.32,0.59999999990321,0.099999999943872,0.1999999999004
2.34,0.59999999990321,0.099999999943872,0.1999999999004
2.36,0.59999999990321,0.099999999943872,0.1999999999004
2.38,0.59999999990321,0.099999999943872,0.1999999999004
2.4,0.59999999990321,0.099999999943872,0.1999999999004
2.42,0.59999999990321,0.099999999943872,0.1999999999004
2.44,0.59999999990321,0.099999999943872,0.1999999999004
2.46,0.59999999990321,0.099999999943872,0.1999999999004
2.48,0.59999999990321,0.099999999943872,0.1999999999004
2.5,0.59999999990321,0.099999999943872,0.1999999999004
2.52,0.59999999990321,0.099999999943872,0.1999999999004
2.54,0.59999999990321,0.099999999943872,0.1999999999004
2.56,0.59999999990321,0.099999999943872,0.1999999999004
2.58,0.59999999990321,0.099999999943872,0.1999999999004
2.6,0.59999999990321,0.099999999943872,0.1999999999004
2.62,0.59999999990321,0.099999999943872,0.1999999999004
2.64,0.59999999990321,0.099999999943872,0.1999999999004
2.66,0.59999999990321,0.099999999943872,0.1999999999004
2.68,0.59999999990321,0.099999999943872,0.1999999999004
2.7,0.59999999990321,0.099999999943872,0.1999999999004
2.72,0.59999999990321,0.099999999943872,0.1999999999004
2.74,0.59999999990321,0.099999999943872,0.1999999999004
2.76,0.59999999990321,0.099999999943872,0.1999999999004
2.78,0.59999999990321,0.099999999943872,0.1999999999004
2.8,0.59999999990321,0.099999999943872,0.1999999999004
2.82,0.59999999990321,0.099999999943872,0.1999999999004
2.84,0.59999999990321,0.099999999943872,0.1999999999004
2.86,0.59999999990321,0.099999999943872,0.1999999999004
2.88,0.59999999990321,0.099999999943872,0.1999999999004
2.9,0.59999999990321,0.099999999943872,0.1999999999004
2.92,0.59999999990321,0.099999999943872,0.1999999999004
2.94,0.59999999990321,0.099999999943872,0.1999999999004
2.96,0.59999999990321,0.099999999943872,0.1999999999004
2.98,0.59999999990321,0.099999999943872,0.1999999999004
3,0.59999999990321,0.099999999943872,0.1999999999004
3.02,0.59999999990321,0.099999999943872,0.1999999999004
3.04,0.59999999990321,0.099999999943872,0.1999999999004
3.06,0.59999999990321,0.099999999943872,0.1999999999004
3.08,0.59999999990321,0.099999999943872,0.1999999999004
3.1,0.59999999990321,0.099999999943872,0.1999999999004
3.12,0.59999999990321,0.099999999943872,0.1999999999004
3.14,0.59999999990321,0.099999999943872,0.1999999999004
3.16,0.59999999990321,0.099999999943872,0.1999999999004
3.18,0.59999999990321,0.099999999943872,0.1999999999004
3.2,0.59999999990321,0.099999999943872,0.1999999999004
