time,E_imag_at_pec,E_imag_at_port,E_imag_in_vacuum,E_imag_mid_stack,E_real_at_pec,E_real_at_port,E_real_in_vacuum,E_real_mid_stack,reflection_coefficient
0,0,0,0,0,0,0,0,0,0
1,0,0.29745761032208,-0.10973677531879,-0.28257215684379,0,1.9547350260996,-0.72113239306475,-1.8569156518976,1
