time,max_damage,reaction_force_y,top_disp_y
0,0,0,0
1,0,0.28350593394127,0.001
2,0.037320529867064,0.55276725426122,0.002
3,0.14287214495616,0.7689432430742,0.003
4,0.31360840035803,0.90394125475342,0.004
5,0.54428291013301,0.94174547438949,0.005
6,0.79919012423374,0.8762108201672,0.006
7,0.9725608063887,0.72733840251031,0.007
8,1.0096136236761,0.55940720664287,0.008
9,1.0071305986323,0.41835095287682,0.009
10,1.0042908799393,0.31628234096179,0.01
