time,total_c
0,0
0.02,0.031414909194197
0.04,0.031414818699047
0.06,0.031414744470845
0.08,0.031414683058886
0.1,0.031414631846908
0.12,0.031414588833566
0.14,0.03141455247429
0.16,0.031414521566209
0.18,0.031414495163743
0.2,0.031414472516344
0.22,0.031414453022335
0.24,0.031414436194548
0.26,0.031414421634639
0.28,0.031414409013791
0.3,0.031414398058157
0.32,0.031414388537793
0.34,0.031414380258201
0.36,0.0314143730538
0.38,0.031414366782847
0.4,0.031414361323437
0.42,0.031414356570325
0.44,0.031414352386261
0.46,0.031414348745268
0.48,0.031414345577064
0.5,0.031414342820981
0.52,0.031414340424522
0.54,0.031414338340521
0.56,0.031414336531347
0.58,0.03141433495822
0.6,0.031414333592558
0.62,0.031414332407458
0.64,0.031414331378415
0.66,0.031414330485848
0.68,0.031414329712471
0.7,0.031414329042337
0.72,0.031414328461472
0.74,0.031414327958651
0.76,0.031414327523861
0.78,0.031414327147909
0.8,0.031414326822452
0.82,0.031414326541414
0.84,0.031414326298245
0.86,0.031414326088455
0.88,0.031414325907369
0.9,0.031414325751538
0.92,0.031414325616949
0.94,0.031414325501114
0.96,0.031414325401495
0.98,0.031414325315628
1,0.031414325241977
1.02,0.031414325178347
1.04,0.031414325123511
1.06,0.031414325076788
1.08,0.03141432503664
1.1,0.031414325002041
1.12,0.031414324972355
1.14,0.031414324946738
1.16,0.031414324924641
1.18,0.031414324905626
1.2,0.031414324889265
1.22,0.031414324875473
1.24,0.031414324863631
1.26,0.031414324853329
1.28,0.031414324844286
1.3,0.031414324836007
1.32,0.031414324828644
1.34,0.031414324822424
1.36,0.03141432481672
1.38,0.031414324811815
1.4,0.031414324807164
1.42,0.031414324802657
1.44,0.031414324798675
1.46,0.031414324794893
1.48,0.031414324791142
1.5,0.031414324787536
1.52,0.031414324783974
1.54,0.031414324780497
1.56,0.031414324777234
1.58,0.031414324773669
1.6,0.031414324770171
1.62,0.031414324766659
1.64,0.031414324763163
1.66,0.031414324759752
1.68,0.031414324756228
1.7,0.031414324752591
1.72,0.031414324749068
1.74,0.031414324745711
1.76,0.031414324742121
1.78,0.031414324738262
1.8,0.031414324734464
1.82,0.031414324730762
1.84,0.031414324726779
1.86,0.031414324722699
1.88,0.031414324718862
1.9,0.031414324714714
1.92,0.031414324710771
1.94,0.031414324706769
1.96,0.031414324702811
1.98,0.031414324698773
2,0.031414324694903
