time,avg_T,dt_pp,max_T
0,0,0,0
0.001,0.08731320908698,0.001,0.099999973089305
0.003,0.2436686775486,0.002,0.29998207171135
0.007,0.51382532133266,0.004,0.69856670130458
0.015,0.95118155543913,0.008,1.4673533299736
0.031,1.5834474980155,0.016,2.776901224118
0.063,2.3357974620846,0.032,4.5090184002866
0.127,2.9919645390924,0.064,6.093116281277
0.255,3.3623243954898,0.128,7.0014719958178
0.511,3.4844661904387,0.256,7.3023159457825
1,3.5063445039235,0.489,7.3562574562108
