time,l2_error,max_phi,min_phi,phi_at_1,phi_at_2,phi_at_surface
0,0,0,0,0,0,0
1,0.056875880676711,2.9261892894131,-2.926189289413,-0.74471421372609,-1.8729332782467,-0.16468169813659
