time,avg_pressure,max_vel_x,max_vel_y,min_vel_x,min_vel_y,lambda
0,0,0,0,0,0,0
1,-3.2526065174566e-18,0.89616495250845,0.24759465660164,-0.23536563688714,-0.511724509985,-2.9467752945281e-17
